Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
Inferno,Sony Pictures,Thriller/Suspense,34221651.0,3956260.0,84.0,2016.0,13,481.9481191618269,-31.011317611626907
Indignation,Roadside Attractions,Drama,3401155.0,393197.0,191.0,2016.0,3,524.7822984948862,-44.80381850389864
Kabali,Cinegalaxy,Action,3903095.0,451224.0,182.0,2016.0,3,574.7785427696163,-44.19099028854811
Keanu,Warner Bros.,Comedy,20591853.0,2380561.0,111.0,2016.0,7,605.8975036750951,-8.968692348702149
Denial,Bleecker Street,Drama,4073448.0,470918.0,179.0,2016.0,3,652.350987460625,-1.822095663041182
The Other Side of the Door,20th Century Fox,Horror,3000342.0,346860.0,201.0,2016.0,3,701.2292749085143,8.709429210475975
No Manches Frida,Lionsgate,Comedy,11528613.0,1332787.0,138.0,2016.0,5,734.3830590809091,46.137047289245885
Blair Witch,Lionsgate,Horror,20777061.0,2401972.0,109.0,2016.0,9,755.8030801082591,87.9722322319216
The Divergent Series: Alleg...,Lionsgate,Action,66184051.0,7651335.0,45.0,2016.0,17,784.2079848516667,118.91025716109166
Jackie,Fox Searchlight,Drama,6469725.0,747945.0,162.0,2016.0,5,810.2467990984742,155.6114853778729
The 5th Wave,Sony Pictures,Action,34912982.0,4036182.0,82.0,2016.0,13,788.5671859343518,195.0449023367672
Hands of Stone,Weinstein Co.,Drama,4712792.0,544831.0,173.0,2016.0,3,801.7944050892318,238.05700148838702
Collateral Beauty,Warner Bros.,Drama,24342478.0,2814159.0,102.0,2016.0,9,798.9300013087106,284.9696350851287
Max Steel,Open Road,Action,3818664.0,441464.0,185.0,2016.0,3,783.4830058625532,329.3587140537939
Creed,Warner Bros.,Drama,10382416.0,1200279.0,142.0,2016.0,5,762.6072540081323,374.7922147390002
Southside with You,Roadside Attractions,Drama,6304223.0,728811.0,163.0,2016.0,5,750.1352842269744,423.2117352836925
Zoolander 2,Paramount Pictures,Comedy,28848693.0,3335109.0,92.0,2016.0,9,716.0427439473303,455.5644584655337
Sausage Party,Sony Pictures,Comedy,97670358.0,11291370.0,29.0,2016.0,20,682.1853063156868,480.41750489890626
When the Bough Breaks,Sony Pictures,Thriller/Suspense,29747603.0,3439029.0,90.0,2016.0,13,646.8036151967335,499.075906051282
Bad Moms,STX Entertainment,Comedy,113257297.0,13093329.0,25.0,2016.0,20,608.56062384746,510.80082023686987
The Witch,A24,Horror,25138705.0,2906208.0,100.0,2016.0,9,570.7289150450899,529.0425802696261
Sing,Universal,Adventure,166497820.0,19248302.0,15.0,2016.0,20,534.8718937430328,550.9120572488276
Doctor Strange,Walt Disney,Action,230107790.0,26602056.0,10.0,2016.0,22,496.9323864696625,538.2394968187532
Ratchet and Clank,Focus Features,Adventure,8813410.0,1018891.0,153.0,2016.0,5,451.9578398255926,536.7261712885446
Ae Dil Hai Mushkil,FIP,Drama,4264983.0,493061.0,176.0,2016.0,3,403.00233987134266,526.5596072559212
Eddie the Eagle,20th Century Fox,Drama,15789389.0,1825362.0,124.0,2016.0,7,365.9504595073562,497.6432077308622
Kevin Hart: What Now?,Universal,Concert/Perfor...,23591043.0,2727288.0,104.0,2016.0,9,331.7573099648011,469.9515388689018
Finding Dory,Walt Disney,Adventure,486295561.0,56219140.0,1.0,2016.0,25,305.4396830458207,437.2195588897842
Free State of Jones,STX Entertainment,Drama,20810036.0,2405784.0,108.0,2016.0,9,268.6352654271262,416.98506250987066
Jason Bourne,Universal,Action,162192920.0,18750626.0,16.0,2016.0,20,255.83393084050374,376.98348963077825
Hail  Caesar!,Universal,Comedy,30080225.0,3477482.0,89.0,2016.0,13,241.29224925609714,339.7203778887655
45 Years,IFC Films,Drama,4021334.0,464894.0,180.0,2016.0,3,235.5833932450161,295.0839693969889
The Light Between Oceans,Walt Disney,Drama,12545979.0,1450402.0,136.0,2016.0,5,234.77088530000532,245.09057152447684
Hillary's America: The Secr...,Quality Flix,Documentary,13099931.0,1514442.0,133.0,2016.0,5,236.52610527217746,195.12138899314772
Mechanic: Resurrection,Lionsgate,Action,21218403.0,2452994.0,107.0,2016.0,9,238.35208809614215,148.15687274176295
Deepwater Horizon,Lionsgate,Thriller/Suspense,61433527.0,7102141.0,52.0,2016.0,15,240.37317671736747,106.20552948811786
Concussion,Sony Pictures,Drama,17111463.0,1978203.0,121.0,2016.0,7,258.37845550999526,68.26070196710066
Shut In,EuropaCorp,Thriller/Suspense,6897838.0,797437.0,159.0,2016.0,5,284.79770165686233,29.38881710115615
Office Christmas Party,Paramount Pictures,Comedy,51137285.0,5911824.0,63.0,2016.0,15,315.7637155867142,-3.262461301017055
Triple 9,Open Road,Thriller/Suspense,12639297.0,1461190.0,134.0,2016.0,5,356.55636107735313,-22.261410584465864
Meet the Blacks,Freestyle Releasing,Comedy,9097072.0,1051684.0,151.0,2016.0,5,397.66489433894657,-50.723464148473965
The BFG,Walt Disney,Adventure,55483770.0,6414308.0,57.0,2016.0,15,442.1400338994022,-57.5763439137981
Love & Friendship,Roadside Attractions,Drama,14016568.0,1620412.0,131.0,2016.0,5,483.19843120691263,-75.99394447789513
Incarnate,High Top Releasing,Horror,4799774.0,554887.0,171.0,2016.0,3,529.6199612898604,-94.56923841252717
Rules Don't Apply,20th Century Fox,Romantic Comedy,3652206.0,422220.0,188.0,2016.0,3,579.6162055645902,-93.95641019717664
Our Kind of Traitor,Roadside Attractions,Thriller/Suspense,3153157.0,364526.0,198.0,2016.0,3,620.2954920379755,-64.8841613674719
The Danish Girl,Focus Features,Drama,5063669.0,585395.0,169.0,2016.0,5,667.8266703234531,-49.36684553018398
How to be Single,Warner Bros.,Romantic Comedy,46843513.0,5415435.0,67.0,2016.0,15,710.5746563304062,-35.309474070720796
A Hologram for the King,Roadside Attractions,Drama,4212494.0,486993.0,177.0,2016.0,3,747.6655979145655,-9.828852955832701
The Conjuring 2: The Enfiel...,Warner Bros.,Horror,102470008.0,11846244.0,28.0,2016.0,20,774.6988715607174,26.14616776650007
Sing Street,Weinstein Co.,Musical,3237118.0,374233.0,195.0,2016.0,3,796.9507659369328,65.25950560245761
Caf茅 Society,Lionsgate,Drama,11103205.0,1283607.0,139.0,2016.0,5,827.0610520571895,105.17655296015039
Captain Fantastic,Bleecker Street,Drama,5879835.0,679749.0,164.0,2016.0,5,858.8286634619942,143.78767655987633
The Good Dinosaur,Walt Disney,Adventure,8320188.0,961871.0,154.0,2016.0,5,844.7774500861096,191.77270967089297
Hell or High Water,Lionsgate,Western,27007844.0,3122294.0,97.0,2016.0,9,848.7912566738196,238.60100620916623
Trolls,20th Century Fox,Adventure,150130292.0,17356103.0,19.0,2016.0,20,840.6101989145418,279.7965192407982
The Nice Guys,Warner Bros.,Black Comedy,36261763.0,4192111.0,78.0,2016.0,13,826.8528257222592,317.3562674141855
Miss Peregrine's Home for P...,20th Century Fox,Adventure,86945137.0,10051461.0,34.0,2016.0,17,819.2762863622493,356.6321639835347
The Big Short,Paramount Pictures,Drama,37204389.0,4301085.0,75.0,2016.0,13,803.5707708890427,393.41988997632836
War Dogs,Warner Bros.,Black Comedy,43034523.0,4975089.0,69.0,2016.0,15,794.2062836609125,432.3082735754726
The Edge of Seventeen,STX Entertainment,Drama,14406786.0,1665524.0,130.0,2016.0,7,769.3003033940838,466.1267913867005
Lights Out,Warner Bros.,Horror,67268835.0,7776744.0,44.0,2016.0,17,736.4371888094247,492.28048519456564
The Boy,STX Entertainment,Horror,35819556.0,4140989.0,79.0,2016.0,13,703.1606927987625,514.4767644605233
