,title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
493,Run All Night,Warner Bros.,Action,17.091206846240276,3138985,94,2015,1846.87,283.37,778.0
494,Love the Coopers,CBS Films,Comedy,17.081031657894805,3107207,95,2015,856.0,226.43,783.0
495,The Lazarus Effect,Lionsgate,Horror,17.065945900753572,3060684,96,2015,961.47,272.48,789.0
496,Ex Machina,A24,Thriller/Suspense,17.0518714639468,3017908,97,2015,1904.23,309.59,794.0
497,In the Heart of the Sea,Warner Bros.,Adventure,16.953756853012496,2735870,98,2015,740.28,225.28,829.0
498,The Gallows,Warner Bros.,Horror,16.94070890943735,2700404,99,2015,1017.37,301.09,838.0
499,Hitman: Agent 47,20th Century Fox,Action,16.927578153075448,2665178,100,2015,1132.09,263.92,841.0
500,Project Almanac,Paramount Pictures,Adventure,16.9222581734658,2651036,101,2015,1672.47,329.55,845.0
501,Black or White,Relativity,Drama,16.88686913970195,2558859,102,2015,1575.18,210.77,859.0
502,Aloha,Sony Pictures,Drama,16.862507550497543,2497275,103,2015,1337.48,182.09,868.0
503,Secret in Their Eyes,STX Entertainment,Thriller/Suspense,16.817176890114773,2386599,104,2015,833.33,141.98,888.0
504,Brooklyn,Fox Searchlight,Drama,16.789201445069896,2320759,105,2015,937.35,304.8,899.0
505,Shaun the Sheep,Lionsgate,Adventure,16.779544815790267,2298455,106,2015,1757.76,213.88,901.0
506,Still Alice,Sony Pictures Cla...,Drama,16.741699808725834,2213096,107,2015,845.79,218.95,915.0
507,Paranormal Activity: The Gh...,Paramount Pictures,Horror,16.722254446991016,2170477,108,2015,801.11,275.74,922.0
508,Wild,Fox Searchlight,Drama,16.713503699195716,2151567,109,2015,1663.52,282.04,926.0
509,Birdman or (The Unexpected ...,Fox Searchlight,Black Comedy,16.709628235579,2143245,110,2015,918.28,345.58,930.0
510,Steve Jobs,Universal,Drama,16.692834112662965,2107551,111,2015,1121.39,281.36,940.0
511,Mr. Holmes,Miramax/Roadside ...,Drama,16.691199831565257,2104109,112,2015,1892.08,314.3,942.0
512,Seventh Son,Universal,Adventure,16.69053091713099,2102703,113,2015,1448.41,311.71,943.0
513,Concussion,Sony Pictures,Drama,16.673150711713077,2066473,114,2015,1465.87,212.46,955.0
514,Monkey Kingdom,Walt Disney,Documentary,16.614760806868897,1949267,115,2015,1622.73,210.86,976.0
515,The Transporter Refueled,EuropaCorp,Action,16.589951937973332,1901502,116,2015,1705.1,300.16,983.0
516,Point Break,Warner Bros.,Action,16.561789634357325,1848699,117,2015,1157.86,268.39,994.0
517,It Follows,RADiUS-TWC,Horror,16.50159302561862,1740697,118,2015,1922.79,217.29,1020.0
518,American Ultra,Lionsgate,Black Comedy,16.48551165264725,1712928,119,2015,1547.61,243.08,1027.0
519,Woodlawn,Pure Flix Enterta...,Drama,16.48139056446612,1705883,120,2015,951.88,207.11,1029.0
520,Burnt,Weinstein Co.,Comedy,16.42535642857877,1612924,121,2015,1001.23,117.55,1045.0
521,The Hunger Games: Mockingja...,Lionsgate,Thriller/Suspense,16.410868468550685,1589725,122,2015,1879.99,318.63,1051.0
522,Do You Believe?,Pure Flix Enterta...,Drama,16.37935160917358,1540403,123,2015,1138.77,294.71,1062.0
523,Love & Mercy,Roadside Attractions,Drama,16.34531337156225,1488853,124,2015,1013.78,115.26,1075.0
524,Strange Magic,Walt Disney,Adventure,16.33558991505609,1474446,125,2015,704.41,197.11,1077.0
525,Hot Tub Time Machine 2,Paramount Pictures,Comedy,16.32630024971174,1460812,126,2015,935.43,216.67,1080.0
526,Self/Less,Focus Features,Thriller/Suspense,16.32345731750023,1456665,127,2015,1644.92,226.63,1081.0
527,Far from the Madding Crowd,Fox Searchlight,Drama,16.319933846445192,1451542,128,2015,1480.06,288.82,1085.0
528,Back to the Future,Universal,Adventure,16.31095878292798,1438572,129,2015,1715.02,209.86,1089.0
529,The 33,Warner Bros.,Drama,16.304512311358046,1429328,130,2015,1116.6,269.8,1093.0
530,The Woman in Black 2: Angel...,Relativity,Horror,16.255586145983866,1361080,131,2015,1793.16,161.55,1103.0
531,Big Hero 6,Walt Disney,Adventure,16.24215159295621,1342917,132,2015,1199.37,222.03,1107.0
532,The Theory of Everything,Focus Features,Drama,16.224362585694227,1319239,133,2015,952.31,289.02,1110.0
533,The Gunman,Open Road,Thriller/Suspense,16.182454374683306,1265094,134,2015,1072.77,335.91,1124.0
534,Unfinished Business,20th Century Fox,Comedy,16.13980831571611,1212278,135,2015,1864.03,191.52,1143.0
535,The Walk,Sony Pictures,Drama,16.13408543034422,1205360,136,2015,1524.11,184.8,1147.0
536,Penguins of Madagascar,20th Century Fox,Adventure,16.047961664361384,1105894,137,2015,1539.68,252.87,1176.0
537,Exodus: Gods and Kings,20th Century Fox,Drama,16.044144758774586,1101681,138,2015,707.45,323.35,1177.0
538,Un gallo con muchos huevos,Lionsgate,Adventure,16.021674834625514,1077202,139,2015,888.83,313.6,1189.0
539,Amy,A24,Documentary,15.944886370978027,997581,140,2015,802.07,248.8,1206.0
540,Bajrangi Bhaijaan,Eros Entertainment,Action,15.916958302186003,970106,141,2015,772.81,215.45,1216.0
541,Dragon Ball Z: Resurrection...,FUNimation,Action,15.895996928620164,949983,142,2015,805.74,226.01,1220.0
542,Blackhat,Universal,Thriller/Suspense,15.89569932040513,949701,143,2015,960.31,353.65,1222.0
543,Mortdecai,Lionsgate,Action,15.85622868281851,912945,144,2015,758.35,363.97,1238.0
544,While We're Young,A24,Comedy,15.841296147957571,899414,145,2015,687.85,148.98,1243.0
545,I'll See You in My Dreams,Bleecker Street,Romantic Comedy,15.823681770647045,883710,146,2015,771.84,332.81,1250.0
546,The Green Inferno,High Top Releasing,Horror,15.78852031593907,853178,147,2015,876.15,119.56,1261.0
547,Whiplash,Sony Pictures Cla...,Drama,15.788255831154443,852952,148,2015,1379.33,158.36,1262.0
548,Trumbo,Bleecker Street,Drama,15.763593772772422,832174,149,2015,1475.68,300.58,1270.0
549,Our Brand is Crisis,Warner Bros.,Drama,15.761743654866317,830635,150,2015,908.77,307.33,1273.0
550,Grandma,Sony Pictures Cla...,Comedy,15.751113483916527,821852,151,2015,860.58,244.35,1275.0
551,Me and Earl and the Dying Girl,Fox Searchlight,Drama,15.72629910103541,801710,152,2015,1166.09,305.62,1286.0
552,Baahubali: The Beginning,Bluesky Cinemas,Action,15.723273702948635,799288,153,2015,999.02,282.35,1288.0
553,Inherent Vice,Warner Bros.,Comedy,15.709826164253782,788611,154,2015,1580.81,274.05,1292.0
554,Little Boy,Open Road,Drama,15.685150552880351,769390,155,2015,949.84,308.67,1299.0
555,The Gambler,Paramount Pictures,Drama,15.619647443293061,720608,156,2015,732.82,104.64,1319.0
556,The Danish Girl,Focus Features,Drama,15.615626514293666,717716,157,2015,776.22,179.0,1320.0
557,The Loft,Open Road,Thriller/Suspense,15.607717260501936,712062,158,2015,1324.32,310.59,1326.0
558,Bajirao Mastani,Eros Entertainment,Drama,15.581776306300373,693828,159,2015,900.41,289.63,1335.0
559,Victor Frankenstein,20th Century Fox,Thriller/Suspense,15.569061974458696,685062,160,2015,871.99,372.18,1343.0
560,Danny Collins,Bleecker Street,Comedy,15.544874275350677,668691,161,2015,871.57,384.51,1351.0
561,A Most Violent Year,A24,Drama,15.513524755613483,648053,162,2015,1799.72,298.37,1364.0
562,Interstellar,Paramount Pictures,Adventure,15.46720303829521,618718,163,2015,1628.11,178.74,1382.0
563,Carol,Weinstein Co.,Drama,15.421437313495034,591040,164,2015,1177.14,166.77,1397.0
564,Room,A24,Drama,15.420332231945823,590388,165,2015,1233.48,338.1,1398.0
565,90 Minutes in Heaven,Samuel Goldwyn Films,Drama,15.387483750585952,571309,166,2015,1357.88,224.7,1406.0
566,True Story,Fox Searchlight,Drama,15.367254736829796,559869,167,2015,1536.42,289.98,1416.0
567,Dilwale,UTV Communications,Romantic Comedy,15.36405811327744,558082,168,2015,1173.61,137.85,1419.0
568,Suffragette,Focus Features,Drama,15.356370441423797,553808,169,2015,725.07,393.45,1421.0
569,Big Eyes,Weinstein Co.,Drama,15.332395805153729,540688,170,2015,916.25,227.09,1428.0
570,Prem Ratan Dhan Payo,Fox International,Drama,15.289046040513853,517751,171,2015,1904.8,188.02,1441.0
571,The Water Diviner,Warner Bros.,Drama,15.250622940008451,498234,172,2015,1100.64,354.55,1459.0
572,Foxcatcher,Sony Pictures Cla...,Drama,15.239464558626603,492705,173,2015,1053.53,199.77,1463.0
573,Hubble 3D,Warner Bros.,Documentary,15.223774804023114,485036,174,2015,742.58,166.05,1467.0
574,Irrational Man,Sony Pictures Cla...,Comedy,15.20936625995799,478097,175,2015,696.85,187.48,1474.0
575,Scouts Guide to the Zombie ...,Paramount Pictures,Comedy,15.124666282178842,439269,176,2015,903.02,234.05,1502.0
576,A La Mala,Lionsgate,Romantic Comedy,15.104699679122943,430586,177,2015,1885.67,278.08,1510.0
577,Spare Parts,Lionsgate,Drama,15.101683986140815,429289,178,2015,1136.67,366.85,1511.0
578,We Are Your Friends,Warner Bros.,Drama,15.094057390108832,426028,179,2015,1311.53,257.45,1516.0
579,Mommy,Roadside Attractions,Drama,15.067900599788278,415029,180,2015,1064.93,264.59,1525.0
580,What We Do in the Shadows,Unison/Paladin,Comedy,15.059441495789955,411533,181,2015,709.39,209.74,1532.0
581,Learning to Drive,Broad Green Pictures,Drama,15.053198466585659,408971,182,2015,1470.83,191.1,1534.0
582,Space Station,IMAX Films,Documentary,14.979095960820713,379761,183,2015,1924.46,279.74,1563.0
583,Phoenix,IFC Films,Drama,14.968250487130012,375665,184,2015,1410.84,295.83,1568.0
584,Wild Tales,Sony Pictures Cla...,Comedy,14.949191361585925,368573,185,2015,1153.88,174.62,1579.0
585,Dil Dhadakne Do,Eros Entertainment,Drama,14.935916953668054,363712,186,2015,1167.69,345.49,1585.0
586,Ladrones,Lionsgate,Comedy,14.935070243266638,363405,187,2015,1168.34,248.95,1586.0
587,Tanu Weds Manu Returns,Eros Entertainment,Comedy,14.928511826941596,361029,188,2015,1301.11,157.26,1587.0
588,Rock the Kasbah,Open Road,Comedy,14.92098756378638,358323,189,2015,755.07,210.81,1590.0
589,Mr. Turner,Sony Pictures Cla...,Drama,14.912697831780838,355365,190,2015,1020.44,216.7,1592.0
590,He Named Me Malala,Fox Searchlight,Documentary,14.797190449080801,316600,191,2015,1164.76,162.84,1628.0
591,Chi-raq,Amazon Studios/Ro...,Drama,14.771533410662052,308580,192,2015,1269.29,347.37,1636.0
592,Captive,Paramount Pictures,Drama,14.76457859645406,306441,193,2015,1492.39,289.62,1638.0
593,The Interview,Sony Pictures,Comedy,14.752543475611276,302775,194,2015,1497.21,169.88,1644.0
594,Truth,Sony Pictures Cla...,Thriller/Suspense,14.738675607481321,298605,195,2015,989.2,120.11,1650.0
595,Mistress America,Fox Searchlight,Comedy,14.731973674979256,296611,196,2015,1326.88,175.62,1653.0
596,Pawn Sacrifice,Bleecker Street,Drama,14.705994336601078,289004,197,2015,1161.03,372.78,1661.0
597,2015 Oscar Shorts,ShortsHD,Multiple Genres,14.696171210636665,286179,198,2015,750.3,133.11,1664.0
598,Meru,Music Box Films,Documentary,14.663191773432956,276895,199,2015,1658.96,213.54,1676.0
599,My All-American,Clarius Entertain...,Drama,14.624661414280526,266429,200,2015,1791.21,225.24,1691.0
600,Finding Dory,Walt Disney,Adventure,20.002327147222132,56219140,1,2016,1717.65,252.15,12.0
601,Rogue One: A Star Wars Story,Walt Disney,Adventure,19.867570801764483,49131526,2,2016,1696.57,280.92,19.0
602,Captain America: Civil War,Walt Disney,Action,19.82698444874623,47177381,3,2016,620.95,317.24,24.0
603,The Secret Life of Pets,Universal,Adventure,19.724637326153044,42587783,4,2016,1197.65,297.19,32.0
604,The Jungle Book,Walt Disney,Adventure,19.71266751076109,42081054,5,2016,1040.31,268.87,34.0
605,Deadpool,20th Century Fox,Action,19.7101081638935,41973492,6,2016,1048.56,289.69,35.0
606,Zootopia,Walt Disney,Adventure,19.648179377026434,39452976,7,2016,1163.36,384.61,41.0
607,Batman v Superman: Dawn of ...,Warner Bros.,Action,19.615694114144784,38191930,8,2016,1447.5,221.7,46.0
608,Suicide Squad,Warner Bros.,Action,19.599643551376857,37583821,9,2016,1024.39,395.34,48.0
609,Doctor Strange,Walt Disney,Action,19.25405840927825,26602056,10,2016,736.75,143.27,68.0
610,Fantastic Beasts and Where ...,Warner Bros.,Adventure,19.221226440535887,25742841,11,2016,809.55,370.79,76.0
611,Moana,Walt Disney,Musical,19.162837655051472,24282787,12,2016,1213.25,167.77,85.0
612,Star Wars Ep. VII: The Forc...,Walt Disney,Adventure,19.085702501941118,22480148,13,2016,1143.9,225.41,97.0
613,The Revenant,20th Century Fox,Adventure,19.02371378438227,21128945,14,2016,1112.86,353.66,110.0
614,Sing,Universal,Adventure,18.930492774205963,19248302,15,2016,1389.4,337.95,130.0
615,Jason Bourne,Universal,Action,18.90429704887786,18750626,16,2016,759.25,340.9,135.0
616,Star Trek Beyond,Paramount Pictures,Adventure,18.88346046851503,18363969,17,2016,1505.08,342.04,143.0
617,X-Men: Apocalypse,20th Century Fox,Action,18.861786375514626,17970229,18,2016,852.58,252.2,146.0
618,Trolls,20th Century Fox,Adventure,18.827014088367612,17356103,19,2016,1516.98,213.73,153.0
619,Kung Fu Panda 3,20th Century Fox,Adventure,18.782045008819395,16592903,20,2016,1235.69,194.23,161.0
620,Ghostbusters,Sony Pictures,Comedy,18.670275937417898,14838216,21,2016,1768.57,196.14,179.0
621,Central Intelligence,Warner Bros.,Comedy,18.663163058131538,14733049,22,2016,546.53,230.7,182.0
622,The Legend of Tarzan,Warner Bros.,Adventure,18.656883144123,14640816,23,2016,1422.06,248.22,183.0
623,Sully,Warner Bros.,Drama,18.64363495734328,14448131,24,2016,1000.2,174.03,186.0
624,Bad Moms,STX Entertainment,Comedy,18.545172752922802,13093329,25,2016,1706.47,247.68,210.0
625,The Angry Birds Movie,Sony Pictures,Adventure,18.493088527318175,12428828,26,2016,1317.06,288.63,223.0
626,Independence Day: Resurgence,20th Century Fox,Action,18.451639400891427,11924194,27,2016,831.86,269.69,235.0
627,The Conjuring 2: The Enfiel...,Warner Bros.,Horror,18.445080708847527,11846244,28,2016,812.09,259.23,237.0
628,Sausage Party,Sony Pictures,Comedy,18.397108672820853,11291370,29,2016,1222.8,343.43,257.0
629,The Magnificent Seven,Sony Pictures,Western,18.352618721234098,10800029,30,2016,1019.4,384.62,268.0
630,Arrival,Paramount Pictures,Drama,18.339380554313014,10657998,31,2016,687.19,324.17,270.0
631,Ride Along 2,Universal,Comedy,18.324859968816426,10504356,32,2016,1901.33,216.53,279.0
632,Don't Breathe,Sony Pictures,Horror,18.30659196985105,10314205,33,2016,1104.11,382.51,288.0
633,Miss Peregrine's Home for P...,20th Century Fox,Adventure,18.280787868505847,10051461,34,2016,1077.7,178.02,291.0
634,The Accountant,Warner Bros.,Thriller/Suspense,18.268190138771722,9925630,35,2016,733.24,315.56,295.0
635,Teenage Mutant Ninja Turtle...,Paramount Pictures,Adventure,18.222858887802392,9485734,36,2016,1127.88,395.9,310.0
636,The Purge: Election Year,Universal,Horror,18.185495481372747,9137854,37,2016,847.02,117.75,318.0
637,Alice Through the Looking G...,Walt Disney,Adventure,18.15986623099941,8906633,38,2016,822.62,173.98,323.0
638,Pete's Dragon,Walt Disney,Adventure,18.149306978542416,8813081,39,2016,997.54,365.72,324.0
639,The Girl on the Train,Universal,Thriller/Suspense,18.13825198200369,8716189,40,2016,1114.11,370.16,329.0
640,Tyler Perry's Boo! A Madea ...,Lionsgate,Comedy,18.10879262818285,8463161,41,2016,1333.35,252.24,337.0
641,Storks,Warner Bros.,Adventure,18.0979219468209,8371659,42,2016,1060.43,161.11,341.0
642,10 Cloverfield Lane,Paramount Pictures,Thriller/Suspense,18.093328776947107,8333294,43,2016,896.9,371.0,342.0
643,Lights Out,Warner Bros.,Horror,18.024207611582167,7776744,44,2016,1820.11,212.23,367.0
644,The Divergent Series: Alleg...,Lionsgate,Action,18.00795007043085,7651335,45,2016,1184.04,359.91,371.0
645,Now You See Me 2,Lionsgate,Thriller/Suspense,17.99105930692803,7523183,46,2016,1670.51,240.17,378.0
646,Hacksaw Ridge,Lionsgate,Drama,17.983826588976317,7468967,47,2016,1092.41,242.26,383.0
647,Ice Age: Collision Course,20th Century Fox,Adventure,17.97537765702166,7406128,48,2016,1647.15,214.68,389.0
648,The Boss,Universal,Comedy,17.959875638271033,7292203,49,2016,1119.51,224.21,393.0
649,London Has Fallen,Focus Features,Thriller/Suspense,17.951065199392026,7228238,50,2016,1538.35,186.97,395.0
650,Miracles from Heaven,Sony Pictures,Drama,17.937877516222915,7133540,51,2016,1596.2,262.32,401.0
651,Deepwater Horizon,Lionsgate,Thriller/Suspense,17.933466286435774,7102141,52,2016,753.54,169.71,404.0
652,My Big Fat Greek Wedding 2,Universal,Comedy,17.904668442599064,6900532,53,2016,850.88,326.85,416.0
653,Jack Reacher: Never Go Back,Paramount Pictures,Action,17.885810262340925,6771620,54,2016,951.98,150.3,424.0
654,Daddy's Home,Paramount Pictures,Comedy,17.84917184248305,6528008,55,2016,706.98,182.08,438.0
655,Me Before You,Warner Bros.,Drama,17.845229039660037,6502321,56,2016,888.34,288.82,439.0
656,The BFG,Walt Disney,Adventure,17.831601103517528,6414308,57,2016,709.29,138.0,449.0
657,Passengers,Sony Pictures,Thriller/Suspense,17.829732849625575,6402336,58,2016,1056.1,187.96,450.0
658,Neighbors 2: Sorority Rising,Universal,Comedy,17.829019723417836,6397772,59,2016,1788.85,213.04,451.0
659,The Shallows,Sony Pictures,Thriller/Suspense,17.825052629083793,6372441,60,2016,603.61,228.96,452.0
660,Barbershop: The Next Cut,Warner Bros.,Comedy,17.805050949739847,6246249,61,2016,1059.54,238.86,462.0
661,13 Hours: The Secret Soldie...,Paramount Pictures,Thriller/Suspense,17.78302917665653,6110198,62,2016,1224.86,254.54,472.0
662,Office Christmas Party,Paramount Pictures,Comedy,17.75002443685994,5911824,63,2016,717.11,146.25,482.0
663,Kubo and the Two Strings,Focus Features,Adventure,17.687192453228747,5551802,64,2016,1457.11,331.78,507.0
664,The Huntsman: Winter's War,Universal,Action,17.68677437939954,5549481,65,2016,1858.46,202.11,508.0
665,Warcraft,Universal,Action,17.673400239937443,5475756,66,2016,597.21,273.48,513.0
666,How to be Single,Warner Bros.,Romantic Comedy,17.662323093881433,5415435,67,2016,1010.89,199.45,519.0
667,Mike and Dave Need Wedding ...,20th Century Fox,Comedy,17.644362214955777,5319037,68,2016,1481.22,273.98,527.0
668,War Dogs,Warner Bros.,Black Comedy,17.57751321200289,4975089,69,2016,1674.74,250.82,565.0
669,Almost Christmas,Universal,Drama,17.55324695973186,4855815,70,2016,551.17,241.42,578.0
670,Money Monster,Sony Pictures,Thriller/Suspense,17.529377093503502,4741280,71,2016,1560.35,233.81,585.0
671,Allied,Paramount Pictures,Drama,17.49431293344288,4577912,72,2016,1583.94,285.31,598.0
672,Nerve,Lionsgate,Thriller/Suspense,17.468338547546914,4460534,73,2016,1558.2,166.57,607.0
673,Sisters,Universal,Comedy,17.451022594499314,4383961,74,2016,789.06,273.97,614.0
674,The Big Short,Paramount Pictures,Drama,17.431937296154793,4301085,75,2016,1506.26,310.73,618.0
675,Risen,Sony Pictures,Drama,17.423180851446194,4263587,76,2016,873.89,198.57,622.0
676,Assassin's Creed,20th Century Fox,Action,17.41049592164588,4209846,77,2016,886.5,221.6,626.0
677,The Nice Guys,Warner Bros.,Black Comedy,17.406274383179063,4192111,78,2016,1475.26,219.64,629.0
678,The Boy,STX Entertainment,Horror,17.394004559210135,4140989,79,2016,1886.06,303.81,635.0
679,Dirty Grandpa,Lionsgate,Comedy,17.387662722051235,4114810,80,2016,863.38,310.93,637.0
680,Ouija: Origin of Evil,Universal,Horror,17.374978833985914,4062948,81,2016,1380.12,181.67,643.0
681,The 5th Wave,Sony Pictures,Action,17.3683692950837,4036182,82,2016,1562.58,291.57,646.0
682,La La Land,Lionsgate,Musical,17.349740420315086,3961689,83,2016,658.19,190.29,652.0
683,Inferno,Sony Pictures,Thriller/Suspense,17.348369071903882,3956260,84,2016,1079.53,137.95,654.0
684,Mother's Day,Open Road,Romantic Comedy,17.29653090008039,3756399,85,2016,1077.56,307.32,675.0
685,Gods of Egypt,Lionsgate,Adventure,17.254436000867372,3601556,86,2016,1873.31,291.51,700.0
686,Why Him?,20th Century Fox,Comedy,17.23761831915156,3541493,87,2016,1723.53,190.65,706.0
687,Alvin and the Chipmunks: Th...,20th Century Fox,Adventure,17.227039715871868,3504226,88,2016,750.51,372.59,717.0
688,Hail  Caesar!,Universal,Comedy,17.21937853707113,3477482,89,2016,1181.75,180.98,720.0
689,When the Bough Breaks,Sony Pictures,Thriller/Suspense,17.20825911528129,3439029,90,2016,1822.41,247.0,725.0
690,Fences,Paramount Pictures,Drama,17.20812504507261,3438568,91,2016,1533.91,231.78,726.0
691,Zoolander 2,Paramount Pictures,Comedy,17.177575246599265,3335109,92,2016,1391.06,184.39,739.0
692,Manchester-by-the Sea,Roadside Attractions,Drama,17.164385940865326,3291410,93,2016,1010.7,283.51,744.0
693,Joy,20th Century Fox,Drama,17.152743049486688,3253310,94,2016,1289.17,264.57,751.0
694,The Finest Hours,Walt Disney,Thriller/Suspense,17.132222750952714,3187232,95,2016,994.96,334.05,760.0
695,Florence Foster Jenkins,Paramount Pictures,Drama,17.125461060091737,3165753,96,2016,672.33,192.48,764.0
696,Hell or High Water,Lionsgate,Western,17.111637900294788,3122294,97,2016,824.0,261.52,769.0
697,The Forest,Focus / Gramercy,Horror,17.096205998594442,3074481,98,2016,1152.52,279.02,776.0
698,Ben-Hur,Paramount Pictures,Adventure,17.089271345450612,3053234,99,2016,1692.58,202.34,780.0
699,The Witch,A24,Horror,17.03991924826421,2906208,100,2016,1063.68,327.79,796.0
700,The Hateful Eight,Weinstein Co.,Western,17.037244733852212,2898446,101,2016,1219.86,297.82,799.0
701,Collateral Beauty,Warner Bros.,Drama,17.007733448065512,2814159,102,2016,1146.8,100.83,810.0
702,Bridget Jones's Baby,Universal,Romantic Comedy,16.999372695721995,2790728,103,2016,916.54,156.33,816.0
703,Kevin Hart: What Now?,Universal,Concert/Perfor...,16.976377664056315,2727288,104,2016,1123.85,136.04,823.0
704,Whiskey Tango Foxtrot,Paramount Pictures,Comedy,16.954621443244477,2668593,105,2016,1813.62,165.9,828.0
705,Snowden,Open Road,Drama,16.88762588157565,2495666,106,2016,677.75,363.76,857.0
706,Mechanic: Resurrection,Lionsgate,Action,16.87037942912855,2452994,107,2016,957.67,238.58,866.0
707,Free State of Jones,STX Entertainment,Drama,16.85094592830585,2405784,108,2016,1004.56,209.73,872.0
708,Blair Witch,Lionsgate,Horror,16.84936009956139,2401972,109,2016,720.42,238.78,874.0
709,God's Not Dead 2,Pure Flix Enterta...,Drama,16.849167946130716,2401510,110,2016,1104.82,161.54,875.0
710,Keanu,Warner Bros.,Comedy,16.840406070097927,2380561,111,2016,892.82,118.26,879.0
711,Middle School: The Worst Ye...,Lionsgate,Adventure,16.811600217648234,2312965,112,2016,1457.07,297.85,889.0
712,Nine Lives,EuropaCorp,Adventure,16.79613081807238,2277460,113,2016,636.99,184.31,897.0
713,Race,Focus Features,Drama,16.76599391721549,2209848,114,2016,810.04,177.85,904.0
714,Brooklyn,Fox Searchlight,Drama,16.74717076157542,2168641,115,2016,701.82,276.52,912.0
715,The Choice,Lionsgate,Drama,16.745684644030945,2165420,116,2016,1475.56,233.68,913.0
716,Eye in the Sky,Bleecker Street,Thriller/Suspense,16.74427982702806,2162381,117,2016,700.63,313.93,914.0
717,Spotlight,Open Road,Drama,16.70292260690648,2074775,118,2016,1227.21,151.27,932.0
718,Bad Santa 2,Broad Green Pictures,Comedy,16.690530240150867,2049222,119,2016,1568.77,319.79,944.0
719,Masterminds,Relativity,Comedy,16.66950033413822,2006577,120,2016,834.44,219.54,959.0
720,Concussion,Sony Pictures,Drama,16.655259147765292,1978203,121,2016,1174.92,152.47,967.0
721,Norm of the North,Lionsgate,Adventure,16.652393572301392,1972543,122,2016,1655.85,231.19,968.0
722,The Birth of a Nation,Fox Searchlight,Drama,16.579409508262557,1833707,123,2016,1187.47,219.75,987.0
723,Eddie the Eagle,20th Century Fox,Drama,16.574848690106318,1825362,124,2016,1416.41,269.65,989.0
724,A Beautiful Planet,Walt Disney,Documentary,16.566020771302924,1809319,125,2016,1588.32,198.22,992.0
725,The Infiltrator,Broad Green Pictures,Thriller/Suspense,16.552265345436826,1784602,126,2016,1194.45,364.15,999.0
726,Keeping Up with the Joneses,20th Century Fox,Comedy,16.517168773785833,1723055,127,2016,752.87,353.78,1011.0
727,Criminal,Lionsgate,Action,16.503949441469437,1700427,128,2016,856.36,170.32,1017.0
728,Hello My Name is Doris,Roadside Attractions,Drama,16.485858822654365,1669942,129,2016,775.7,305.22,1025.0
729,The Edge of Seventeen,STX Entertainment,Drama,16.48320990354282,1665524,130,2016,1146.0,214.54,1028.0
730,Love & Friendship,Roadside Attractions,Drama,16.455750616451343,1620412,131,2016,1265.2,182.36,1038.0
731,Point Break,Warner Bros.,Action,16.395571769388113,1525774,132,2016,1377.82,196.68,1058.0
732,Hillary's America: The Secr...,Quality Flix,Documentary,16.388117520981936,1514442,133,2016,1172.63,199.11,1060.0
733,Triple 9,Open Road,Thriller/Suspense,16.35232132804769,1461190,134,2016,1848.53,323.03,1069.0
734,Moonlight,A24,Drama,16.349982309675106,1457776,135,2016,1427.5,284.87,1072.0
735,The Light Between Oceans,Walt Disney,Drama,16.344910773797157,1450402,136,2016,983.63,394.24,1076.0
736,Fifty Shades of Black,Open Road,Comedy,16.273982536992644,1351091,137,2016,1183.55,117.43,1100.0
737,No Manches Frida,Lionsgate,Comedy,16.260342590126317,1332787,138,2016,1349.56,338.62,1102.0
738,Café Society,Lionsgate,Drama,16.222744363344294,1283607,139,2016,1407.51,233.51,1112.0
739,Pride and Prejudice and Zom...,Sony Pictures,Comedy,16.20494202266866,1260958,140,2016,713.47,255.88,1116.0
740,The Darkness,High Top Releasing,Horror,16.190748722399945,1243187,141,2016,786.25,300.57,1121.0
741,Creed,Warner Bros.,Drama,16.155624163917356,1200279,142,2016,894.03,272.41,1139.0
742,Nocturnal Animals,Focus Features,Thriller/Suspense,16.136451840510748,1177486,143,2016,1385.57,241.87,1145.0
743,The Lady in the Van,Sony Pictures Cla...,Drama,16.120210912214997,1158517,144,2016,1041.24,136.9,1152.0
744,Room,A24,Drama,16.087708811988968,1121468,145,2016,1238.8,296.89,1160.0
745,The Perfect Match,Lionsgate,Romantic Comedy,16.084489331559368,1117863,146,2016,671.17,178.17,1161.0
746,Popstar: Never Stop Never S...,Universal,Comedy,16.06639490515266,1097818,147,2016,1467.18,336.58,1168.0
747,Hardcore Henry,STX Entertainment,Action,16.040354409545092,1069599,148,2016,1385.95,203.97,1180.0
748,Dangal,UTV Communications,Action,16.03751381464772,1066565,149,2016,856.04,181.45,1181.0
749,The Lobster,A24,Romantic Comedy,16.034309394943293,1063153,150,2016,1563.28,197.82,1184.0
750,Meet the Blacks,Freestyle Releasing,Comedy,16.02346316147003,1051684,151,2016,1826.5,179.74,1187.0
751,The Queen of Katwe,Walt Disney,Drama,15.996753777644829,1023966,152,2016,1303.69,329.24,1198.0
752,Ratchet and Clank,Focus Features,Adventure,15.991784983182812,1018891,153,2016,1151.88,290.41,1200.0
753,The Good Dinosaur,Walt Disney,Adventure,15.934195408695949,961871,154,2016,690.58,177.8,1209.0
754,The Wild Life,Lionsgate,Adventure,15.895650105980998,925501,155,2016,1618.66,306.96,1223.0
755,Carol,Weinstein Co.,Drama,15.860492116212367,893527,156,2016,857.85,204.64,1236.0
