,title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
60,Escape From Planet Earth,Weinstein Co.,Adventure,17.858789466553368,7012666,61,2013,653.38,288.27,433.0
61,Django Unchained,Weinstein Co.,Western,17.850199095794633,6952682,62,2013,1293.45,392.9,436.0
62,Hansel & Gretel: Witch Hunters,Paramount Pictures,Action,17.83555309074322,6851595,63,2013,1457.22,239.42,446.0
63,Free Birds,Relativity,Adventure,17.820924174730756,6752094,64,2013,879.4,249.03,453.0
64,Evil Dead,Sony Pictures,Horror,17.808926546725633,6671569,65,2013,1000.04,384.76,460.0
65,RED 2,Lionsgate,Action,17.790744203285797,6551360,66,2013,992.69,93.37,468.0
66,Tyler Perry's Temptation,Lionsgate,Drama,17.766280202651966,6393032,67,2013,1067.93,396.2,477.0
67,The Call,Sony Pictures,Thriller/Suspense,17.764296990659403,6380366,68,2013,755.04,107.85,478.0
68,Tyler Perry's A Madea Chris...,Lionsgate,Comedy,17.73206880362568,6178016,69,2013,716.99,305.8,490.0
69,Pain & Gain,Paramount Pictures,Action,17.725036267743747,6134722,70,2013,1303.88,275.16,494.0
70,Gangster Squad,Warner Bros.,Action,17.644171584695478,5658167,71,2013,598.22,246.99,528.0
71,The Secret Life of Walter M...,20th Century Fox,Adventure,17.632584306447605,5592983,72,2013,1902.14,235.43,534.0
72,Jurassic Park,Universal,Adventure,17.630712813250984,5582525,73,2013,968.55,308.96,536.0
73,Les Misérables,Universal,Musical,17.62896614453997,5572783,74,2013,1461.33,174.6,538.0
74,The Internship,20th Century Fox,Comedy,17.614874567393468,5494804,75,2013,1342.12,235.95,549.0
75,Instructions Not Included,Lionsgate,Comedy,17.610262531639666,5469521,76,2013,1653.2,195.7,553.0
76,Snitch,Lionsgate,Thriller/Suspense,17.575092201847937,5280499,77,2013,1081.24,256.46,566.0
77,Riddick,Universal,Action,17.55377844962738,5169143,78,2013,838.24,400.63,576.0
78,A Haunted House,Open Road,Comedy,17.505431544494968,4925176,79,2013,949.78,91.77,596.0
79,The Hobbit: An Unexpected J...,Warner Bros.,Adventure,17.483387878161523,4817795,80,2013,1296.33,366.84,601.0
80,12 Years a Slave,Fox Searchlight,Drama,17.46544349732911,4732113,81,2013,1106.31,253.96,609.0
81,Lincoln,Walt Disney,Drama,17.456221488400285,4688674,82,2013,1862.44,311.82,611.0
82,The Family,Relativity,Black Comedy,17.42420248141833,4540926,83,2013,1318.41,378.52,621.0
83,Carrie,Sony Pictures,Horror,17.378447437112644,4337837,84,2013,1699.34,328.92,641.0
84,Life of Pi,20th Century Fox,Drama,17.34032677310109,4175588,85,2013,1443.26,343.29,658.0
85,R.I.P.D.,Universal,Action,17.330597628255923,4135160,86,2013,1170.29,216.69,661.0
86,Blue Jasmine,Sony Pictures Cla...,Comedy,17.30424965929285,4027630,87,2013,1042.79,172.37,671.0
87,47 Ronin,Universal,Action,17.302508806466413,4020624,88,2013,1691.39,257.04,673.0
88,Kevin Hart: Let Me Explain,Lionsgate,Concert/Perfor...,17.288844119073996,3966057,89,2013,1675.6,206.87,678.0
89,Side Effects,Open Road,Thriller/Suspense,17.286630596506722,3957288,90,2013,967.7,224.4,680.0
90,Scary Movie 5,Weinstein Co.,Comedy,17.281739682859982,3937981,91,2013,1373.14,330.48,685.0
91,Walking with Dinosaurs,20th Century Fox,Adventure,17.260539321395086,3855373,92,2013,1291.91,136.49,697.0
92,The Mortal Instruments: Cit...,Sony Pictures,Adventure,17.25481973687763,3833385,93,2013,1359.71,352.66,699.0
93,Delivery Man,Walt Disney,Comedy,17.21224593299774,3673608,94,2013,1026.88,127.57,723.0
94,One Direction: This is Us,Sony Pictures,Concert/Perfor...,17.178430413532357,3551460,95,2013,937.32,184.24,738.0
95,Kick-Ass 2,Universal,Action,17.175746525665513,3541941,96,2013,696.95,370.29,741.0
96,Rush,Universal,Drama,17.109405688167364,3314590,97,2013,617.14,180.95,770.0
97,The Host,Open Road,Thriller/Suspense,17.09731239207126,3274747,98,2013,1229.91,311.38,775.0
98,The World's End,Focus Features,Comedy,17.073793655505522,3198628,99,2013,723.78,219.36,787.0
99,Argo,Warner Bros.,Thriller/Suspense,17.070470798326465,3188017,100,2013,863.29,400.0,788.0
100,21 and Over,Relativity,Comedy,17.061315711619315,3158964,101,2013,1752.91,188.77,790.0
101,Escape Plan,Lionsgate,Thriller/Suspense,17.036925356908196,3082848,102,2013,1219.53,199.9,800.0
102,Parental Guidance,20th Century Fox,Adventure,17.03148610107842,3066125,103,2013,834.78,105.66,802.0
103,Grudge Match,Warner Bros.,Comedy,17.028215824032344,3056114,104,2013,728.45,124.76,803.0
104,Don Jon,Relativity,Romantic Comedy,17.013170631947304,3010478,105,2013,1395.91,286.87,808.0
105,The Incredible Burt Wonders...,Warner Bros.,Comedy,16.93070805150889,2772187,106,2013,724.84,270.68,840.0
106,The Big Wedding,Lionsgate,Romantic Comedy,16.898307657079496,2683806,107,2013,1151.77,358.11,854.0
107,Mud,Roadside Attractions,Drama,16.88774478580867,2655607,108,2013,909.56,80.68,856.0
108,Baggage Claim,Fox Searchlight,Romantic Comedy,16.886791255009364,2653076,109,2013,1166.55,322.97,860.0
109,The Way Way Back,Fox Searchlight,Comedy,16.88368860155057,2644857,110,2013,693.47,132.26,861.0
110,The Place Beyond the Pines,Focus Features,Drama,16.879065905725763,2632659,111,2013,1511.3,159.86,863.0
111,Homefront,Open Road,Action,16.819136196782363,2479519,112,2013,1187.81,343.32,886.0
112,Broken City,20th Century Fox,Thriller/Suspense,16.796188278257105,2423267,113,2013,749.04,195.06,896.0
113,Philomena,Weinstein Co.,Drama,16.790341461825673,2409140,114,2013,1499.18,326.0,898.0
114,Beautiful Creatures,Warner Bros.,Drama,16.78346754486683,2392636,115,2013,1101.57,145.5,900.0
115,Runner Runner,20th Century Fox,Thriller/Suspense,16.77647776919352,2375971,116,2013,1285.97,345.44,902.0
116,The Book Thief,20th Century Fox,Drama,16.76477047665234,2348317,117,2013,1808.73,256.28,905.0
117,You're Next,Lionsgate,Horror,16.732957237549215,2274785,118,2013,975.32,345.68,918.0
118,Quartet,Weinstein Co.,Comedy,16.72722825055555,2261790,119,2013,680.93,164.86,921.0
119,Admission,Focus Features,Romantic Comedy,16.706288733261697,2214922,120,2013,1854.13,253.58,931.0
120,Parker,FilmDistrict,Thriller/Suspense,16.684354524657707,2166868,121,2013,817.48,132.13,947.0
121,Enough Said,Fox Searchlight,Comedy,16.677578230021833,2152234,122,2013,697.94,260.28,952.0
122,Dark Skies,Weinstein Co.,Horror,16.673053005220776,2142517,123,2013,1089.44,124.78,956.0
123,The Counselor,20th Century Fox,Thriller/Suspense,16.646381395787984,2086128,124,2013,728.09,158.23,970.0
124,Dallas Buyers Club,Focus Features,Drama,16.60672738223108,2005023,125,2013,1855.09,346.37,978.0
125,Jobs,Open Road,Drama,16.59627886103606,1984183,126,2013,969.87,103.8,981.0
126,Fruitvale Station,Weinstein Co.,Drama,16.594267591993106,1980196,127,2013,1144.53,396.59,982.0
127,The Impossible,Lionsgate,Drama,16.563260139691494,1919737,128,2013,1732.03,211.67,993.0
128,Jack Reacher,Paramount Pictures,Thriller/Suspense,16.54815723695476,1890962,129,2013,1247.31,129.11,1000.0
129,About Time,Universal,Romantic Comedy,16.544925629477458,1884861,130,2013,827.83,158.26,1003.0
130,The Last Exorcism Part II,CBS Films,Horror,16.535443413199076,1867072,131,2013,910.41,199.88,1005.0
131,Spring Breakers,A24,Thriller/Suspense,16.463406285046585,1737304,132,2013,1718.59,270.36,1034.0
132,This is 40,Universal,Comedy,16.402470510605713,1634601,133,2013,1629.37,327.21,1055.0
133,Texas Chainsaw 3D,Lionsgate,Horror,16.349006955014183,1549504,134,2013,734.94,290.1,1074.0
134,The Last Stand,Lionsgate,Action,16.304600030871104,1482201,135,2013,1650.72,326.49,1092.0
135,Out of the Furnace,Relativity,Drama,16.230310859437164,1376080,136,2013,972.08,383.11,1109.0
136,Wreck-It Ralph,Walt Disney,Adventure,16.205285403704714,1342070,137,2013,1579.97,308.28,1115.0
137,Dead Man Down,FilmDistrict,Thriller/Suspense,16.203841602634952,1340134,138,2013,1223.65,282.42,1117.0
138,Getaway,Warner Bros.,Thriller/Suspense,16.167070369525113,1291751,139,2013,931.52,146.08,1134.0
139,Bullet to the Head,Warner Bros.,Action,16.065731151456433,1167260,140,2013,1350.9,159.83,1169.0
140,Peeples,Lionsgate,Romantic Comedy,16.03221799470077,1128790,141,2013,886.34,132.92,1186.0
141,Battle of the Year 3D,Sony Pictures,Drama,16.000252550998113,1093278,142,2013,1201.72,135.84,1195.0
142,Movie 43,Relativity,Comedy,15.994848677644772,1087386,143,2013,1829.83,331.13,1199.0
143,Before Midnight,Sony Pictures Cla...,Drama,15.90868499529327,997616,144,2013,1888.11,175.85,1217.0
144,Machete Kills,Open Road,Action,15.895971704670197,985013,145,2013,1388.01,313.82,1221.0
145,Dhoom 3,Yash Raj Films,Action,15.875625539010212,965174,146,2013,1068.6,285.93,1228.0
146,Inside Llewyn Davis,CBS Films,Drama,15.864232291195611,954240,147,2013,990.91,217.39,1234.0
147,Skyfall,Sony Pictures,Action,15.83784072881527,929386,148,2013,818.65,387.06,1245.0
148,Paranoia,Relativity,Thriller/Suspense,15.815456138310884,908813,149,2013,1392.56,227.63,1253.0
149,Mandela: Long Walk to Freedom,Weinstein Co.,Drama,15.770180371743903,868583,150,2013,1114.39,404.97,1269.0
150,Black Nativity,20th Century Fox,Musical,15.763178589609664,862523,151,2013,921.67,408.77,1271.0
151,Nebraska,Paramount Pictures,Drama,15.761891453344004,861414,152,2013,1851.14,224.93,1272.0
152,The Spectacular Now,A24,Drama,15.740192838835673,842923,153,2013,1559.11,307.24,1280.0
153,The Grandmaster,Weinstein Co.,Action,15.701816127283294,811188,154,2013,857.24,348.94,1295.0
154,Amour,Sony Pictures Cla...,Drama,15.67612842297116,790615,155,2013,1277.97,153.66,1302.0
155,Rise of the Guardians,Paramount Pictures,Adventure,15.63765227671585,760773,156,2013,1023.79,190.57,1313.0
156,All is Lost,Roadside Attractions,Thriller/Suspense,15.615107070519958,743813,157,2013,1532.37,209.11,1321.0
157,The Guilt Trip,Paramount Pictures,Comedy,15.61098528373842,740754,158,2013,1367.3,147.15,1325.0
158,Justin Bieber's Believe,Open Road,Documentary,15.601081249485896,733454,159,2013,1818.03,287.45,1328.0
159,The Bling Ring,A24,Drama,15.581222380290825,719032,160,2013,1439.9,150.14,1336.0
160,Pulling Strings,Lionsgate,Romantic Comedy,15.580748246860868,718691,161,2013,1338.5,318.1,1337.0
161,Closed Circuit,Focus Features,Thriller/Suspense,15.564883441281498,707379,162,2013,1078.61,156.79,1346.0
162,Monsters University Inc.,Walt Disney,Adventure,15.533210592322193,685325,163,2013,793.57,205.94,1358.0
163,The Wizard of Oz,Warner Bros.,Musical,15.521954302680216,677654,164,2013,840.13,338.34,1360.0
164,Top Gun,Paramount Pictures,Action,15.505316663557302,666473,165,2013,1027.03,105.74,1367.0
165,Hubble 3D,Warner Bros.,Documentary,15.494839578350138,659527,166,2013,1701.8,180.57,1370.0
166,Chennai Express,UTV Communications,Romantic Comedy,15.484718138610814,652885,167,2013,1828.96,310.7,1374.0
167,The Company You Keep,Sony Pictures Cla...,Thriller/Suspense,15.451092127275572,631296,168,2013,1420.23,154.21,1387.0
168,20 Feet From Stardom,RADiUS-TWC,Documentary,15.388547107140498,593021,169,2013,866.06,132.25,1405.0
169,Much Ado About Nothing,Roadside Attractions,Romantic Comedy,15.28081247578914,532453,170,2013,911.54,142.34,1445.0
170,Frances Ha,IFC Films,Comedy,15.218373400595715,500224,171,2013,1296.74,251.33,1470.0
171,The To Do List,CBS Films,Comedy,15.0658904033619,429479,172,2013,1247.31,359.33,1529.0
172,Metallica Through the Never,Picturehouse,Concert/Perfor...,15.045141459869427,420660,173,2013,1275.59,122.12,1539.0
173,Emperor,Roadside Attractions,Drama,15.023355057595769,411594,174,2013,612.63,296.5,1546.0
174,Stand Up Guys,Roadside Attractions,Drama,15.012468112868302,407137,175,2013,1187.02,202.59,1550.0
175,The Fifth Estate,Walt Disney,Drama,14.995448423385081,400267,176,2013,1090.23,226.56,1554.0
176,Promised Land,Focus Features,Drama,14.979429510173025,393906,177,2013,701.73,167.6,1562.0
177,The Twilight Saga: Breaking...,Lionsgate,Drama,14.97596429644071,392543,178,2013,1136.03,115.67,1565.0
178,Hyde Park on Hudson,Focus Features,Drama,14.968061638603338,389453,179,2013,688.75,200.55,1569.0
179,In a World...,Roadside Attractions,Comedy,14.901804283730101,364485,180,2013,1435.42,231.5,1597.0
180,To the Arctic 3D,Warner Bros.,Documentary,14.890610587151116,360428,181,2013,1789.89,247.81,1599.0
181,Home Run,Samuel Goldwyn Films,Drama,14.866316448406517,351777,182,2013,801.71,402.7,1607.0
182,Filly Brown,Lionsgate,Drama,14.862954807557953,350597,183,2013,1700.11,229.15,1608.0
183,Grace Unplugged,Roadside Attractions,Drama,14.734660797546546,308383,184,2013,1508.73,180.55,1652.0
184,The Sapphires,Weinstein Co.,Musical,14.711952397472038,301459,185,2013,1890.95,330.32,1658.0
185,Space Station,IMAX Films,Documentary,14.706215138160884,299735,186,2013,1264.83,211.46,1660.0
186,La Vie d'Adèle,Mongrel Media,Drama,14.702077069916134,298497,187,2013,1533.85,172.23,1662.0
187,The Gatekeepers,Sony Pictures Cla...,Documentary,14.694536710207847,296254,188,2013,1121.69,102.71,1667.0
188,I'm in Love with a Church Girl,High Top Releasing,Drama,14.685853681775631,293693,189,2013,1348.0,139.98,1672.0
189,No,Sony Pictures Cla...,Drama,14.666185281753565,287973,190,2013,1169.51,122.77,1675.0
190,Trance,Fox Searchlight,Thriller/Suspense,14.65819479192548,285681,191,2013,1143.43,333.09,1678.0
191,Renoir,Samuel Goldwyn Films,Drama,14.644519476284128,281801,192,2013,1515.95,198.35,1682.0
192,The East,Fox Searchlight,Drama,14.637336312749637,279784,193,2013,1147.65,199.97,1686.0
193,Oldboy,FilmDistrict,Action,14.601081027994981,269822,194,2013,1863.88,175.82,1694.0
194,2013 Oscar Shorts,Shorts International,Multiple Genres,14.577410181110459,263510,195,2013,1680.15,284.01,1701.0
195,Hotel Transylvania,Sony Pictures,Adventure,14.576637363516943,263307,196,2013,750.72,397.97,1702.0
196,Austenland,Sony Pictures Cla...,Romantic Comedy,14.575181631256669,262924,197,2013,1833.99,167.1,1704.0
197,Blackfish,Magnolia Pictures,Documentary,14.54478810454686,255053,198,2013,1874.12,248.22,1708.0
198,The Iceman,Alchemy,Drama,14.473176664197096,237427,199,2013,1250.11,306.01,1717.0
199,Fill the Void,Sony Pictures Cla...,Drama,14.389107579925389,218282,200,2013,1348.39,212.61,1726.0
200,Guardians of the Galaxy,Walt Disney,Action,19.623818974118148,40765637,1,2014,1228.34,181.13,45.0
201,The Hunger Games: Mockingja...,Lionsgate,Thriller/Suspense,19.595434299561933,39624786,2,2014,1393.82,152.58,50.0
202,Captain America: The Winter...,Walt Disney,Action,19.375218476614204,31792773,3,2014,1557.28,329.19,58.0
203,The Lego Movie,Warner Bros.,Adventure,19.367635368201846,31552597,4,2014,1801.66,347.47,59.0
204,Transformers: Age of Extinc...,Paramount Pictures,Action,19.318559311468544,30041502,5,2014,811.69,112.85,61.0
205,Maleficent,Walt Disney,Adventure,19.30199622242214,29548020,6,2014,1435.92,321.03,62.0
206,X-Men: Days of Future Past,20th Century Fox,Action,19.270496292301722,28631766,7,2014,1112.41,122.42,67.0
207,The Hobbit: The Battle of t...,Warner Bros.,Adventure,19.21187080798757,27001470,8,2014,1219.96,128.45,77.0
208,Big Hero 6,Walt Disney,Adventure,19.16834942363541,25851534,9,2014,1048.5,345.63,84.0
