title,artist,listType,Gross,Tickets_Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
All the Money in the World,Sony Pictures,Thriller/Suspense,12393945.0,1360476.0,134.0,2018.0,1067.8565339891097,230.51277442504133,5,16.33271860486323
Mile 22,STX Entertainment,Action,36108758.0,3963639.0,82.0,2018.0,1063.3974285872619,211.05392671832797,13,17.402045997757664
Bumblebee,Paramount Pictures,Adventure,71426119.0,7840408.0,41.0,2018.0,1072.8270529522515,182.57442208191983,17,18.084174172741726
Adrift,STX Entertainment,Drama,31445011.0,3451702.0,92.0,2018.0,1095.6488420167057,170.11785979942943,9,17.26375089577682
The Predator,20th Century Fox,Action,51024708.0,5600956.0,58.0,2018.0,1111.1073526704984,151.7593618116697,15,17.74782054395885
Early Man,Lionsgate,Adventure,8267544.0,907524.0,149.0,2018.0,1128.7022485041982,161.26828607265995,5,15.927848045868071
The Shape of Water,Fox Searchlight,Drama,48189258.0,5289710.0,63.0,2018.0,1141.836465509829,146.1854367513611,15,17.690646691112626
Three Billboards Outside Eb...,Fox Searchlight,Black Comedy,30349111.0,3331406.0,97.0,2018.0,1165.2596288473324,140.9551959094269,9,17.228277783442753
Eighth Grade,A24,Drama,13539710.0,1486246.0,131.0,2018.0,1177.3661721216909,147.98595759974762,5,16.421137407198355
Den of Thieves,STX Entertainment,Action,44947622.0,4933877.0,68.0,2018.0,1195.9919466911313,155.2715956423893,15,17.62100841425667
Christopher Robin,Walt Disney,Adventure,99215042.0,10890783.0,36.0,2018.0,1227.7253834137202,159.39336635088813,17,18.412800193824488
Teen Titans Go! To The Movies,Warner Bros.,Adventure,29790236.0,3270059.0,99.0,2018.0,1247.5208633490822,176.24978869160697,9,17.209691246779602
Truth or Dare,Universal,Thriller/Suspense,41411015.0,4545666.0,76.0,2018.0,1262.9623378256847,191.92017049896677,13,17.539057466209044
Green Book,Universal,Comedy,32153006.0,3529418.0,89.0,2018.0,1283.2838663764094,208.13853901624012,13,17.286016503499518
BlacKkKlansman,Focus Features,Black Comedy,48527565.0,5326846.0,62.0,2018.0,1290.1702667745953,235.27850013551705,15,17.697642544973192
Hotel Artemis,Global Road,Thriller/Suspense,6708137.0,736348.0,160.0,2018.0,1273.9884873208825,247.03222353329187,5,15.718831825091756
Ya Veremos,Lionsgate,Drama,4165949.0,457294.0,183.0,2018.0,1266.954367988021,250.84288820117632,3,15.242454658769407
Smallfoot,Warner Bros.,Adventure,82976621.0,9108301.0,38.0,2018.0,1285.5555882085368,266.94401358046156,17,18.234069451384308
Fahrenheit 11/9,Briarcliff Entert...,Documentary,6352306.0,697289.0,162.0,2018.0,1286.8789419962334,288.90417602869013,5,15.664328454552315
Wonder,Lionsgate,Drama,10863515.0,1192482.0,141.0,2018.0,1289.8420605250888,298.45508847640707,5,16.20092048492695
Blockers,Universal,Comedy,60311495.0,6620362.0,50.0,2018.0,1297.1392020609044,319.20964762388775,17,17.91503327371221
Sherlock Gnomes,Paramount Pictures,Adventure,43242871.0,4746748.0,72.0,2018.0,1270.7244007427616,333.4314010784743,13,17.58234294538587
Skyscraper,Universal,Action,68420120.0,7510441.0,46.0,2018.0,1248.8910112876338,354.00573229240973,17,18.04117749138533
Superfly,Sony Pictures,Thriller/Suspense,20537137.0,2254350.0,116.0,2018.0,1226.533768064399,345.2791249644089,7,16.837745366186674
