title,artist,listType,Gross,Tickets Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
Enough Said,Fox Searchlight,Comedy,17497669.0,2152234.0,122.0,2013.0,474.430706793643,325.81603575282355,7,16.677578230021833
Man of Steel,Warner Bros.,Action,291045518.0,35798956.0,5.0,2013.0,447.4860229412701,343.07824917102903,25,19.48899023214754
Hansel & Gretel: Witch Hunters,Paramount Pictures,Action,55703475.0,6851595.0,63.0,2013.0,408.3528474745814,334.79606480376515,15,17.83555309074322
Blackfish,Magnolia Pictures,Documentary,2073582.0,255053.0,198.0,2013.0,400.5822456247349,318.55975528185826,3,14.54478810454686
We're the Millers,Warner Bros.,Comedy,150394119.0,18498661.0,16.0,2013.0,378.022486537623,314.08122093103873,20,18.828769866321878
Disney Planes,Walt Disney,Adventure,90282580.0,11104868.0,38.0,2013.0,353.5603503360975,286.3214678259044,17,18.31845508726336
The Heat,20th Century Fox,Comedy,159581587.0,19628731.0,15.0,2013.0,337.84371625250054,252.8253872629144,20,18.888065866650205
Kick-Ass 2,Universal,Action,28795985.0,3541941.0,96.0,2013.0,334.6202676483982,224.00509269299872,9,17.175746525665513
Turbo,20th Century Fox,Adventure,83028130.0,10212562.0,43.0,2013.0,335.54797762427756,198.02164884502787,17,18.234690024004582
The Company You Keep,Sony Pictures Cla...,Thriller/Suspense,5132442.0,631296.0,168.0,2013.0,357.54776562514246,197.92506770297368,5,15.451092127275572
Spring Breakers,A24,Thriller/Suspense,14124286.0,1737304.0,132.0,2013.0,367.5390916522435,197.50864937944147,5,16.463406285046585
Inside Llewyn Davis,CBS Films,Drama,7757978.0,954240.0,147.0,2013.0,376.89431358312834,201.0413286210217,5,15.864232291195611
Django Unchained,Weinstein Co.,Western,56525312.0,6952682.0,62.0,2013.0,368.13655302147214,177.51757537346873,15,17.850199095794633
Tyler Perry's Temptation,Lionsgate,Drama,51975354.0,6393032.0,67.0,2013.0,392.27075894211623,159.69792036614749,15,17.766280202651966
Philomena,Weinstein Co.,Drama,19586311.0,2409140.0,114.0,2013.0,412.51323654418593,151.08153478229013,7,16.790341461825673
Mandela: Long Walk to Freedom,Weinstein Co.,Drama,7061587.0,868583.0,150.0,2013.0,424.51207732204205,151.24832803052828,5,15.770180371743903
The Best Man Holiday,Universal,Comedy,70492685.0,8670686.0,49.0,2013.0,436.9077506645426,133.07286978634582,17,18.071019503533925
The Hangover 3,Warner Bros.,Comedy,112200072.0,13800746.0,26.0,2013.0,473.6491807554683,128.70625612429365,20,18.535794192763895
Blue Jasmine,Sony Pictures Cla...,Comedy,32744634.0,4027630.0,87.0,2013.0,495.81791997879674,153.1510306425431,13,17.30424965929285
Dead Man Down,FilmDistrict,Thriller/Suspense,10895295.0,1340134.0,138.0,2013.0,505.6215239214325,168.2470350720581,5,16.203841602634952
20 Feet From Stardom,RADiUS-TWC,Documentary,4821266.0,593021.0,169.0,2013.0,510.0888830480761,177.19369380219834,5,15.388547107140498
Rise of the Guardians,Paramount Pictures,Adventure,6185091.0,760773.0,156.0,2013.0,510.1344949718085,187.19358977927797,5,15.63765227671585
Mama,Universal,Horror,71628180.0,8810354.0,46.0,2013.0,532.0609922029397,178.30113196605268,17,18.08699912991938
La Vie d'Adèle,Mongrel Media,Drama,2426783.0,298497.0,187.0,2013.0,543.2720469678388,194.86350652583224,3,14.702077069916134
The Gatekeepers,Sony Pictures Cla...,Documentary,2408553.0,296254.0,188.0,2013.0,548.3005108650513,198.13681537689263,3,14.694536710207847
2 Guns,Universal,Action,75612460.0,9300425.0,44.0,2013.0,567.9832631364882,201.6849505238743,17,18.141131642384106
The Bling Ring,A24,Drama,5845732.0,719032.0,160.0,2013.0,558.8828349094493,221.71448387052308,5,15.581222380290825
Closed Circuit,Focus Features,Thriller/Suspense,5750995.0,707379.0,162.0,2013.0,555.4494323648603,231.10659476035022,5,15.564883441281498
Carrie,Sony Pictures,Horror,35266619.0,4337837.0,84.0,2013.0,572.661158152375,236.37503811825025,13,17.378447437112644
Skyfall,Sony Pictures,Action,7555911.0,929386.0,148.0,2013.0,572.6158695351722,254.37498114430318,5,15.83784072881527
Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,68518210.0,8427824.0,50.0,2013.0,586.0418932021131,271.80317349161066,17,18.042610107319476
The Iceman,Alchemy,Drama,1930282.0,237427.0,199.0,2013.0,584.3683153245095,291.7330289122502,3,14.473176664197096
Monsters University Inc.,Walt Disney,Adventure,5571699.0,685325.0,163.0,2013.0,588.7317478301057,298.43828481856025,5,15.533210592322193
Silver Linings Playbook,Weinstein Co.,Drama,97416189.0,11982311.0,34.0,2013.0,598.9788966298365,317.90610291603014,17,18.394502966300138
Instructions Not Included,Lionsgate,Comedy,44467206.0,5469521.0,76.0,2013.0,576.6726978471825,337.9668480634249,13,17.610262531639666
Delivery Man,Walt Disney,Comedy,29866438.0,3673608.0,94.0,2013.0,554.6729409655569,337.8634210390537,9,17.21224593299774
Anchorman 2: The Legend Con...,Paramount Pictures,Comedy,108773941.0,13379328.0,27.0,2013.0,533.3997801479255,357.57262266740975,20,18.50478235083068
Pain & Gain,Paramount Pictures,Action,49875291.0,6134722.0,70.0,2013.0,502.5244315459336,374.0563373187096,15,17.725036267743747
G.I. Joe: Retaliation,Paramount Pictures,Action,122523060.0,15070487.0,22.0,2013.0,468.6340130776822,382.7993079835811,20,18.623809815131168
This is 40,Universal,Comedy,13289310.0,1634601.0,133.0,2013.0,445.6258543558917,373.02052318009476,5,16.402470510605713
Gangster Squad,Warner Bros.,Action,46000903.0,5658167.0,71.0,2013.0,427.80982327614805,375.58743505345694,13,17.644171584695478
Epic,20th Century Fox,Adventure,107518682.0,13224930.0,28.0,2013.0,395.8222320898893,367.4760843582409,20,18.493175176479458
Riddick,Universal,Action,42025135.0,5169143.0,78.0,2013.0,370.57209678477545,346.2291865358894,13,17.55377844962738
Justin Bieber's Believe,Open Road,Documentary,5962982.0,733454.0,159.0,2013.0,360.1450707707962,331.5568612769606,5,15.601081249485896
Iron Man 3,Walt Disney,Action,408992272.0,50306552.0,1.0,2013.0,331.65572038358255,322.157025399959,25,19.82920681896304
Battle of the Year 3D,Sony Pictures,Drama,8888355.0,1093278.0,142.0,2013.0,332.35062950734806,292.1650747913423,5,16.000252550998113
The Counselor,20th Century Fox,Thriller/Suspense,16960224.0,2086128.0,124.0,2013.0,330.318068185799,280.3384651979659,7,16.646381395787984
Trance,Fox Searchlight,Thriller/Suspense,2322593.0,285681.0,191.0,2013.0,324.9728734496868,271.88690361249314,3,14.65819479192548
Getaway,Warner Bros.,Thriller/Suspense,10501938.0,1291751.0,139.0,2013.0,317.97860663277123,268.0035762127245,5,16.167070369525113
Peeples,Lionsgate,Romantic Comedy,9177065.0,1128790.0,141.0,2013.0,313.619204498896,259.00381993629327,5,16.03221799470077
White House Down,Sony Pictures,Thriller/Suspense,73103784.0,8991855.0,45.0,2013.0,303.2975450774744,239.57540397440437,17,18.10739068808614
The East,Fox Searchlight,Drama,2274649.0,279784.0,193.0,2013.0,322.8529555922568,235.38184705952423,3,14.637336312749637
The Last Stand,Lionsgate,Action,12050299.0,1482201.0,135.0,2013.0,320.80105586351607,226.24772187424438,5,16.304600030871104
One Direction: This is Us,Sony Pictures,Concert/Perfor...,28873374.0,3551460.0,95.0,2013.0,314.74923340526925,213.62332307929736,9,17.178430413532357
No,Sony Pictures Cla...,Drama,2341226.0,287973.0,190.0,2013.0,315.884888404369,201.67718195661595,3,14.666185281753565
Inside Llewyn Davis,CBS Films,Drama,5490231.0,671998.0,160.0,2014.0,618.9875652205343,245.0281664573225,5,15.518480889103254
Transcendence,Warner Bros.,Thriller/Suspense,23022309.0,2817908.0,109.0,2014.0,620.4161366491057,231.10124347794658,9,16.9519742603113
Kick,UTV Communications,Action,2472695.0,302655.0,193.0,2014.0,626.2183197905853,241.60527464663275,3,14.720819206912095
2014 Oscar Shorts,ShortsHD,Multiple Genres,2357890.0,288603.0,196.0,2014.0,626.5644992928768,247.59527963429287,3,14.673277709288184
Edge of Tomorrow,Warner Bros.,Action,100206256.0,12265147.0,31.0,2014.0,625.2393186427809,267.5513287483989,17,18.42274117979579
The Hobbit: The Desolation ...,Warner Bros.,Adventure,29307213.0,3587174.0,93.0,2014.0,602.1647226381748,279.5331073819831,9,17.193344221164995
Lone Survivor,Universal,Action,124768916.0,15271593.0,24.0,2014.0,577.3796000216355,294.5895909317072,20,18.641973912363568
Beyond the Lights,Relativity,Drama,14564709.0,1782706.0,130.0,2014.0,560.4380261677904,273.5661974055728,7,16.494111968773403
Kill the Messenger,Focus Features,Thriller/Suspense,2450846.0,299981.0,194.0,2014.0,557.0880396699358,264.1440113288605,3,14.71194382903892
Before I Go to Sleep,Clarius Entertain...,Thriller/Suspense,3242457.0,396873.0,179.0,2014.0,554.0714435825372,258.9574760647857,3,14.991841933712406
P.K.,UTV Communications,Comedy,9896123.0,1211275.0,146.0,2014.0,549.7372217690374,252.2333016714952,5,16.107653622241568
A Haunted House 2,Open Road,Comedy,17329487.0,2121112.0,123.0,2014.0,547.2668896956068,240.49032677383917,7,16.667920059407138
300: Rise of an Empire,Warner Bros.,Action,106580051.0,13045293.0,26.0,2014.0,545.1191466344937,213.57588455886025,20,18.48440691334659
Non-Stop,Universal,Action,91742160.0,11229150.0,32.0,2014.0,578.8242422277391,198.31264338766104,17,18.334492591656648
Step Up All In,Lionsgate,Drama,14904384.0,1824282.0,129.0,2014.0,599.0497469129605,211.2327424673155,7,16.517165955826982
Calvary,Fox Searchlight,Black Comedy,3600006.0,440637.0,173.0,2014.0,604.7969346105385,219.41625232365507,3,15.096446070091616
The Legend of Hercules,Lionsgate,Adventure,18848538.0,2307042.0,115.0,2014.0,614.3038191754839,216.31477753433253,7,16.75194590916869
Cantinflas,Lionsgate,Drama,6382924.0,781263.0,153.0,2014.0,626.1346836636183,218.32242428199544,5,15.669136857540332
CitizenFour,RADiUS-TWC,Documentary,2263209.0,277014.0,200.0,2014.0,630.6892374540132,224.8993566801883,3,14.63229427563179
Neighbors,Universal,Comedy,150086800.0,18370477.0,19.0,2014.0,649.0419261470847,238.7622141682824,20,18.826724351364202
Tammy,Warner Bros.,Comedy,84525432.0,10345830.0,37.0,2014.0,658.5156609290132,274.5287956275396,17,18.252563017459092
3 Days to Kill,Relativity,Thriller/Suspense,30697999.0,3757405.0,88.0,2014.0,636.8047863651337,295.23236840306527,13,17.239708031280077
Grudge Match,Warner Bros.,Comedy,4971780.0,608541.0,164.0,2014.0,619.9528889511156,288.90674167147483,5,15.419288482846166
Into the Storm,Warner Bros.,Thriller/Suspense,47602194.0,5826461.0,70.0,2014.0,610.3154146133909,306.431555176608,15,17.6783894105764
The Skeleton Twins,Lionsgate/Roadsid...,Drama,5284309.0,646794.0,161.0,2014.0,592.136425808219,314.76968242566295,5,15.480252421339992
Fading Gigolo,Alchemy,Comedy,3747833.0,458731.0,171.0,2014.0,584.3290371121964,316.51458407023154,3,15.136688364250634
American Hustle,Sony Pictures,Black Comedy,62194684.0,7612568.0,50.0,2014.0,570.4757537490208,330.9397890968356,17,17.945780087819017
The Imitation Game,Weinstein Co.,Drama,30472090.0,3729753.0,91.0,2014.0,553.587794581803,311.1712070746879,9,17.232321740667327
Dawn of the Planet of the Apes,20th Century Fox,Adventure,208545589.0,25525775.0,10.0,2014.0,534.5754386148302,286.685898814731,22,19.15566822758038
Labor Day,Paramount Pictures,Drama,13371528.0,1636661.0,135.0,2014.0,547.011746584198,262.7205437351367,5,16.408638228262298
Penguins of Madagascar,20th Century Fox,Adventure,74028222.0,9060981.0,42.0,2014.0,524.8000855041212,248.93086641425558,17,18.119956956840575
Draft Day,Lionsgate,Drama,28842237.0,3530261.0,94.0,2014.0,517.9952415813451,223.83716004818325,9,17.177351433253666
The Monuments Men,Sony Pictures,Drama,78031620.0,9550993.0,41.0,2014.0,511.2265366870687,198.73368152320194,17,18.172624687123108
Pompeii,Sony Pictures,Action,23169033.0,2835866.0,108.0,2014.0,534.265503360871,186.6835356899172,9,16.95832716053547
Birdman or (The Unexpected ...,Fox Searchlight,Black Comedy,24273045.0,2970996.0,105.0,2014.0,552.223846206965,185.459639361734,9,17.00487703336812
Sex Tape,Sony Pictures,Comedy,38543473.0,4717683.0,82.0,2014.0,568.1456424686908,170.27753134604342,13,17.467297331057555
Ouija,Universal,Horror,50856010.0,6224725.0,64.0,2014.0,596.123466082863,171.39170629382443,15,17.744508864231996
Dallas Buyers Club,Focus Features,Drama,10997442.0,1346076.0,138.0,2014.0,599.6036572421107,191.08658556471855,5,16.21317325826521
The Amazing Spider-Man 2,Sony Pictures,Action,202853933.0,24829122.0,11.0,2014.0,624.8105431253933,191.44293096355298,20,19.127996736139643
Jersey Boys,Warner Bros.,Musical,47047013.0,5758508.0,72.0,2014.0,654.3325860727546,206.1890823331194,13,17.666657936326803
Winter's Tale,Warner Bros.,Drama,12600231.0,1542255.0,137.0,2014.0,665.714551835611,220.13364598255507,5,16.349225705086987
Rio 2,20th Century Fox,Adventure,131538435.0,16100175.0,21.0,2014.0,688.2663124866966,230.92336755153667,20,18.694809648245037
Wild,Fox Searchlight,Drama,19742647.0,2416480.0,113.0,2014.0,672.2087143058103,252.6294390676171,7,16.79829167619167
Addicted,Lionsgate,Drama,17390770.0,2128613.0,122.0,2014.0,680.1574234095183,264.1541092834902,7,16.671450163671086
The Quiet Ones,Lionsgate,Horror,8509867.0,1041599.0,148.0,2014.0,680.4558159692449,276.1503987881787,5,15.956736871755277
Sin City: A Dame to Kill For,Weinstein Co.,Action,13757804.0,1683941.0,134.0,2014.0,677.4714675408406,285.6946988912706,5,16.437116784709893
Hubble 3D,Warner Bros.,Documentary,5754866.0,704389.0,157.0,2014.0,670.5706301430505,292.93199418780654,5,15.565556315766258
Legends of Oz: Dorothy's Re...,Clarius Entertain...,Adventure,8462347.0,1035782.0,149.0,2014.0,661.1790966266576,296.3669757322212,5,15.951137116275563
Transformers: Age of Extinc...,Paramount Pictures,Action,245439076.0,30041502.0,5.0,2014.0,658.7329945342836,326.26708584161184,25,19.318559311468544
God's Not Dead,Pure Flix Enterta...,Drama,60755732.0,7436442.0,51.0,2014.0,619.6826968655365,334.93162575912834,15,17.922371989643345
Captain Phillips,Sony Pictures,Drama,2301683.0,281723.0,198.0,2014.0,605.5466516773772,323.78836652144037,3,14.649151152439265
The Wind Rises,Walt Disney,Drama,5201879.0,636704.0,163.0,2014.0,597.5710522402974,323.16401596345827,5,15.464530464435704
Bears,Walt Disney,Documentary,17780194.0,2176278.0,120.0,2014.0,594.1831757647345,334.6758487013992,7,16.693595699126615
Veronica Mars,Warner Bros.,Drama,3322127.0,406625.0,178.0,2014.0,587.2296601150541,341.86254614248077,3,15.016115798406569
Horrible Bosses 2,Warner Bros.,Black Comedy,53063469.0,6494916.0,61.0,2014.0,584.5758840941377,359.66584563529415,15,17.7869992833532
Nebraska,Paramount Pictures,Drama,10651616.0,1303747.0,141.0,2014.0,565.9181212750259,352.4625209455575,5,16.181222175698004
Ghostbusters,Sony Pictures,Comedy,19864003.0,2431334.0,112.0,2014.0,554.4803526766782,348.83244525892906,7,16.804419757197113
Saving Mr. Banks,Walt Disney,Drama,24341481.0,2979373.0,103.0,2014.0,544.96663347715,335.96818674969,9,17.00769249001606
Fury,Sony Pictures,Drama,85244339.0,10433823.0,35.0,2014.0,522.0805490163302,323.63015051809214,17,18.261032267230927
Boyhood,IFC Films,Drama,24299768.0,2974267.0,104.0,2014.0,507.6308264831908,302.0152131201887,9,17.005977360940097
Devil's Due,20th Century Fox,Horror,15821461.0,1936531.0,127.0,2014.0,505.5804436564929,286.14713414811456,7,16.576877867493504
Her,Warner Bros.,Drama,25568251.0,3129528.0,100.0,2014.0,508.2189066256735,270.366180021058,9,17.05686194445865
A Walk Among the Tombstones,Universal,Action,26017685.0,3184539.0,99.0,2014.0,499.4376714636629,254.6534492262704,9,17.074287057067508
No Good Deed,Sony Pictures,Thriller/Suspense,52543632.0,6431289.0,62.0,2014.0,495.10409343675735,231.0479392448122,15,17.77715446811563
Heaven is for Real,Sony Pictures,Drama,91386097.0,11185568.0,33.0,2014.0,477.67103270396126,204.21347644999105,17,18.330603913256862
The Trip to Italy,IFC Films,Comedy,2873758.0,351745.0,183.0,2014.0,492.75074875477117,191.0756621786997,3,14.871131138874706
Ride Along,Universal,Comedy,134202565.0,16426262.0,20.0,2014.0,490.3232858107948,168.20412039298657,20,18.714860895582984
Rosewater,Open Road,Drama,3128941.0,382979.0,180.0,2014.0,510.76877378914,178.73892088124174,3,14.956205166608752
St. Vincent,Weinstein Co.,Comedy,43478246.0,5321694.0,76.0,2014.0,523.3177720024194,167.60089493704507,13,17.587771279017204
Exodus: Gods and Kings,20th Century Fox,Drama,55727340.0,6820971.0,58.0,2014.0,546.7287442427278,152.24099979536157,15,17.8359814282792
Godzilla,Warner Bros.,Action,200676069.0,24562554.0,12.0,2014.0,579.2024261623001,139.18496737404627,20,19.11720256898903
Under the Skin,A24,Thriller/Suspense,2614251.0,319981.0,191.0,2014.0,597.2618667766507,153.42774114521694,3,14.776488189979649
A Million Ways to Die in Th...,Universal,Western,42720965.0,5229004.0,78.0,2014.0,612.5532144999485,148.71874074118261,13,17.570200341312397
The November Man,Relativity,Thriller/Suspense,25018119.0,3062193.0,101.0,2014.0,629.443566318014,162.81540756217157,9,17.035110880320776
Ida,Music Box Films,Drama,3704612.0,453440.0,172.0,2014.0,637.1368386981036,172.0248353449249,3,15.125089087881623
Dolphin Tale 2,Warner Bros.,Drama,42024533.0,5143761.0,79.0,2014.0,652.9807171270736,174.25452508298739,13,17.553764124764136
Belle,Fox Searchlight,Drama,10726630.0,1312929.0,139.0,2014.0,661.931096076918,189.87152596837447,5,16.18823999258234
Into the Woods,Walt Disney,Musical,90871655.0,11122601.0,34.0,2014.0,683.4945645474631,194.2323547336214,17,18.324958684337197
Snowpiercer,RADiUS-TWC,Thriller/Suspense,4563029.0,558510.0,166.0,2014.0,699.9577506055989,208.82562389495763,5,15.333497215357237
Whiplash,Sony Pictures Cla...,Drama,5901617.0,722352.0,156.0,2014.0,707.6829469841575,215.1755326275856,5,15.59073693912284
The Raid 2,Sony Pictures Cla...,Action,2625803.0,321395.0,190.0,2014.0,709.8162190850056,222.8858601267093,3,14.780897311990444
How to Train Your Dragon 2,20th Century Fox,Adventure,177002924.0,21664984.0,16.0,2014.0,727.7586881354489,237.2757108685998,20,18.991676810175665
X-Men: Days of Future Past,20th Century Fox,Action,233921534.0,28631766.0,7.0,2014.0,707.4255574473716,274.0257285069843,22,19.270496292301722
My Old Lady,Cohen Media Group,Comedy,4001608.0,489792.0,170.0,2014.0,686.1544182510778,290.65517940867943,5,15.202206838303812
Island of Lemurs: Madagascar,Warner Bros.,Documentary,8860004.0,1084455.0,147.0,2014.0,679.2535808532876,297.89247470521536,5,15.99705777404843
Alexander and the Terrible ��,Walt Disney,Adventure,66032663.0,8082333.0,46.0,2014.0,698.206723039496,311.92049189402985,17,18.005660071510476
22 Jump Street,Sony Pictures,Comedy,191719337.0,23466259.0,13.0,2014.0,697.6178947620349,348.915806208949,20,19.071543074081564
And So It Goes,Clarius Entertain...,Comedy,15160801.0,1855667.0,128.0,2014.0,671.4648145852053,355.6252322100553,7,16.534223773194316
Captain America: The Winter...,Walt Disney,Action,259746958.0,31792773.0,3.0,2014.0,645.6405622519945,374.52253337796435,25,19.375218476614204
The Fault in Our Stars,20th Century Fox,Drama,124872350.0,15284253.0,23.0,2014.0,603.1473822903108,389.3323158457782,20,18.6428025734866
The Maze Runner,20th Century Fox,Action,102104191.0,12497452.0,28.0,2014.0,563.1952370804378,387.3762756802351,20,18.441504330284612
Journey to the South Pacific,MacGillivray Free...,Documentary,5238809.0,641225.0,162.0,2014.0,564.7672258578204,362.42574760398423,5,15.471604740386585
Son of God,20th Century Fox,Drama,59700064.0,7307229.0,52.0,2014.0,537.8517470844993,363.2369402538866,15,17.904843650389058
Divergent,Lionsgate,Adventure,150947895.0,18475874.0,18.0,2014.0,503.6677600915944,355.7232838025367,20,18.832445269004985
When the Game Stands Tall,Sony Pictures,Drama,30127963.0,3687633.0,92.0,2014.0,496.3932592774769,327.65049202997864,9,17.22096430178485
This is Where I Leave You,Warner Bros.,Comedy,34296320.0,4197835.0,85.0,2014.0,486.465562225907,308.01784495292225,13,17.350548617750594
The Best of Me,Relativity,Drama,26739759.0,3272920.0,97.0,2014.0,489.58071032706346,286.2395104824477,9,17.101662116882423
The Homesman,Roadside Attractions,Western,2272797.0,278188.0,199.0,2014.0,498.9123068286873,278.6948894362399,3,14.636521789563483
Bang Bang,FIP,Action,2581138.0,315928.0,192.0,2014.0,496.55303617921714,273.17820184289656,3,14.763740944919606
Chef,Open Road,Comedy,31424004.0,3846267.0,87.0,2014.0,480.66619991963915,266.1265419249243,13,17.263082617427564
War Room,Sony Pictures,Drama,66628024.0,7903680.0,42.0,2015.0,776.0908961897952,252.35458166974132,17,18.01463582778799
Trainwreck,Universal,Romantic Comedy,110212700.0,13073867.0,27.0,2015.0,764.6228110834122,217.17670475835342,20,18.51792269305197
Woman in Gold,Weinstein Co.,Drama,33307793.0,3951102.0,77.0,2015.0,795.3082211654918,229.3177758846836,13,17.321301951595345
Paul Blart: Mall Cop 2,Sony Pictures,Adventure,71091594.0,8433167.0,40.0,2015.0,809.9446142711251,255.5051010030948,17,18.079479659935906
