title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
American Assassin,Lionsgate,Thriller/Suspense,17.40594094612107,4041212.0,73.0,2017.0,982.0420020358623,141.35913399583558,13
Murder on the Orient Express,20th Century Fox,Drama,18.426857866188822,11217349.0,34.0,2017.0,1009.4484462052709,129.15721537665547,17
The Lost City of Z,Bleecker Street,Drama,15.964284463497007,955890.0,140.0,2017.0,1021.4067965697981,147.62334265227042,5
Wind River,Weinstein Co.,Thriller/Suspense,17.335996774331495,3768212.0,76.0,2017.0,1039.445923704605,129.54624452329193,13
Jackie,Fox Searchlight,Drama,15.829168670596813,835080.0,145.0,2017.0,1054.4563217008058,139.48042551598843,5
mother!,Paramount Pictures,Thriller/Suspense,16.69470923998139,1984392.0,112.0,2017.0,1065.0149998150175,145.18255814163524,7
Kong: Skull Island,Warner Bros.,Adventure,18.939788845110535,18734985.0,19.0,2017.0,1091.2985616328058,139.00401639050136,20
Collateral Beauty,Warner Bros.,Drama,15.713661461271105,743985.0,152.0,2017.0,1096.2733848242883,163.50403953770447,5
Sleight,High Top Releasing,Action,15.184401860518799,438237.0,172.0,2017.0,1095.864535133538,171.49358532769614,3
Fist Fight,Warner Bros.,Comedy,17.2870737304504,3588296.0,79.0,2017.0,1114.1304620172612,165.76784035142634,13
Three Billboards Outside Eb...,Fox Searchlight,Black Comedy,17.000400510360517,2693939.0,96.0,2017.0,1128.6809938254235,182.2688107501532,9
A Cure for Wellness,20th Century Fox,Thriller/Suspense,15.908236717065677,903789.0,143.0,2017.0,1128.7438714520185,196.2686695495866,5
The Circle,STX Entertainment,Thriller/Suspense,16.8358302678461,2285155.0,104.0,2017.0,1129.606311758676,210.24207989629343,9
Everything Everything,Warner Bros.,Drama,17.345427691518463,3803918.0,75.0,2017.0,1136.2527436769444,231.21408368124023,13
An Inconvenient Sequel,Paramount Vantage,Documentary,15.067357392651473,389832.0,182.0,2017.0,1140.6055284751253,246.61061785295317,3
Norman: The Moderate Rise a...,Sony Pictures Cla...,Drama,15.15441662183997,425291.0,174.0,2017.0,1143.6037813910202,251.80777856360356,3
Blade Runner 2049,Warner Bros.,Thriller/Suspense,18.333536761807423,10217894.0,37.0,2017.0,1158.4145143250262,265.2480981266776,17
Loving Vincent,Good Deed Enterta...,Drama,15.651237310103003,698961.0,155.0,2017.0,1139.1665640642861,275.90250617030364,5
The Nut Job 2: Nutty by Nature,Open Road,Adventure,17.160861206333774,3162822.0,88.0,2017.0,1132.9822450456802,292.8067718531456,13
Megan Leavey,Bleecker Street,Drama,16.41123560205648,1494571.0,124.0,2017.0,1115.659546609253,302.8029770771593,7
Despicable Me 3,Universal,Adventure,19.39382164216309,29501036.0,8.0,2017.0,1109.7007835985441,331.1841881750355,22
Darkest Hour,Focus Features,Drama,16.71323615443069,2021500.0,110.0,2017.0,1082.3671269872416,345.8085246131578,9
Rock Dog,Lionsgate,Adventure,16.058403606656267,1050228.0,139.0,2017.0,1068.5097235280828,343.8154442409468,5
The Zookeeper's Wife,Focus Features,Drama,16.674574294626996,1944836.0,113.0,2017.0,1056.8768202966487,340.870013473115,7
Star Wars Ep. VIII: The Las...,Walt Disney,Adventure,20.06397571853917,57660910.0,1.0,2017.0,1044.6953175101976,370.4607382000238,25
Underworld: Blood Wars,Sony Pictures,Action,17.228437972997877,3383943.0,84.0,2017.0,1007.023411188332,375.443455739337,13
2017 Oscar Shorts,ShortsHD,Multiple Genres,14.857677707763116,316093.0,188.0,2017.0,999.6787330136937,361.22882586336095,3
Born in China,Walt Disney,Documentary,16.445470272346753,1546623.0,123.0,2017.0,987.0552854080079,374.31476055410945,7
Detroit,Annapurna Pictures,Drama,16.6363023077568,1871810.0,117.0,2017.0,973.1729403045355,376.12597407771585,7
Happy Death Day,Universal,Horror,17.835200626922322,6207786.0,50.0,2017.0,949.2324989202851,374.4362207444532,17
Wonder,Lionsgate,Drama,18.615912718164477,13551761.0,25.0,2017.0,912.50738979636,369.93440335191053,20
Baywatch,Paramount Pictures,Comedy,17.876990720138128,6472707.0,48.0,2017.0,901.3378160240795,334.6606082378945,17
Friend Request,Entertainment Stu...,Thriller/Suspense,15.139684272530554,419072.0,175.0,2017.0,919.2985265692489,325.8621494687329,3
