Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
Black Nativity,20th Century Fox,Musical,7012316.0,862523.0,151.0,2013.0,5,71.29762607630292,-199.4822201368873
Texas Chainsaw 3D,Lionsgate,Horror,12597475.0,1549504.0,134.0,2013.0,5,118.236474799901,-182.25594716496516
Walking with Dinosaurs,20th Century Fox,Adventure,31344185.0,3855373.0,92.0,2013.0,9,139.4789639824155,-140.3303386025274
Peeples,Lionsgate,Romantic Comedy,9177065.0,1128790.0,141.0,2013.0,5,156.82754345508053,-96.64937260724948
Rush,Universal,Drama,26947624.0,3314590.0,97.0,2013.0,9,190.01926099505985,-63.373106489395596
The Call,Sony Pictures,Thriller/Suspense,51872378.0,6380366.0,68.0,2013.0,15,191.73575171572884,-21.408196628824488
Tyler Perry's A Madea Chris...,Lionsgate,Comedy,50227277.0,6178016.0,69.0,2013.0,15,200.89771251395598,17.528398937965232
Monsters University Inc.,Walt Disney,Adventure,5571699.0,685325.0,163.0,2013.0,5,186.6653043728284,60.21842773280636
La Vie d'Ad猫le,Mongrel Media,Drama,2426783.0,298497.0,187.0,2013.0,3,170.07848442403204,107.38703386004117
42,Warner Bros.,Drama,95020213.0,11687603.0,35.0,2013.0,17,139.68287953791193,140.56996928786117
The Family,Relativity,Black Comedy,36917730.0,4540926.0,83.0,2013.0,13,113.83785742461319,171.09921480692205
Amour,Sony Pictures Cla...,Drama,6427707.0,790615.0,155.0,2013.0,5,79.14873318959056,199.76390841782893
Pacific Rim,Warner Bros.,Action,101802906.0,12521882.0,30.0,2013.0,20,35.526214178963286,210.81270179844122
Grace Unplugged,Roadside Attractions,Drama,2507159.0,308383.0,184.0,2013.0,3,-7.589870053869717,223.69692782980414
21 and Over,Relativity,Comedy,25682380.0,3158964.0,101.0,2013.0,9,-51.720269413872174,207.52572341186746
Home Run,Samuel Goldwyn Films,Drama,2859955.0,351777.0,182.0,2013.0,3,-97.68528705119992,197.71668912707938
World War Z,Paramount Pictures,Action,202359711.0,24890493.0,13.0,2013.0,20,-131.5280122056403,168.05745862254656
The Internship,20th Century Fox,Comedy,44672764.0,5494804.0,75.0,2013.0,13,-160.2305270149116,140.1977090970472
Safe Haven,Relativity,Drama,71399120.0,8782179.0,47.0,2013.0,17,-191.2515418039624,114.94505297026541
2 Guns,Universal,Action,75612460.0,9300425.0,44.0,2013.0,17,-209.58873491033108,79.3958286611508
The Incredible Burt Wonders...,Warner Bros.,Comedy,22537881.0,2772187.0,106.0,2013.0,9,-216.03294248388494,37.89315177460587
Carrie,Sony Pictures,Horror,35266619.0,4337837.0,84.0,2013.0,13,-208.7064110839893,-3.4628869337417214
Rise of the Guardians,Paramount Pictures,Adventure,6185091.0,760773.0,156.0,2013.0,5,-213.11327614028255,-48.24658419486144
The Hobbit: An Unexpected J...,Warner Bros.,Adventure,39168675.0,4817795.0,80.0,2013.0,13,-203.22333131832772,-92.14634491651788
Scary Movie 5,Weinstein Co.,Comedy,32015787.0,3937981.0,91.0,2013.0,9,-182.53624360402534,-128.6982860674439
The Spectacular Now,A24,Drama,6852971.0,842923.0,153.0,2013.0,5,-151.3774236678014,-163.88532828730052
Silver Linings Playbook,Weinstein Co.,Drama,97416189.0,11982311.0,34.0,2013.0,17,-121.14024971033976,-197.21269408578817
Monsters University,Walt Disney,Adventure,268488329.0,33024394.0,6.0,2013.0,22,-82.18370506050054,-206.2894572172731
Side Effects,Open Road,Thriller/Suspense,32172757.0,3957288.0,90.0,2013.0,13,-44.63719184514376,-220.0829102066097
The Hunger Games: Catching ...,Lionsgate,Adventure,407139699.0,50078683.0,2.0,2013.0,25,-6.860186290740316,-233.23197296190037
To the Arctic 3D,Warner Bros.,Documentary,2930286.0,360428.0,181.0,2013.0,3,37.9995993618168,-236.78156888349906
Parental Guidance,20th Century Fox,Adventure,24927598.0,3066125.0,103.0,2013.0,9,84.33851945116967,-244.6367891192766
The Wolf of Wall Street,Paramount Pictures,Black Comedy,63173956.0,7770474.0,55.0,2013.0,15,122.48154258912236,-227.05527081460207
The Wolverine,20th Century Fox,Action,132556852.0,16304655.0,21.0,2013.0,20,156.47694239711583,-205.97654239245392
Jack Reacher,Paramount Pictures,Thriller/Suspense,15373522.0,1890962.0,129.0,2013.0,7,173.88676099618255,-167.75484415248044
Despicable Me 2,Universal,Adventure,367956735.0,45259130.0,3.0,2013.0,25,188.67286893760487,-128.4436369470968
Man of Steel,Warner Bros.,Action,291045518.0,35798956.0,5.0,2013.0,25,214.2428834354855,-97.68368963605323
The Wizard of Oz,Warner Bros.,Musical,5509334.0,677654.0,164.0,2013.0,5,236.79034391766737,-58.73998634778792
Riddick,Universal,Action,42025135.0,5169143.0,78.0,2013.0,13,231.06355486125315,-14.105875097497133
The Last Exorcism Part II,CBS Films,Horror,15179303.0,1867072.0,131.0,2013.0,5,244.4482823893232,28.857470547358368
Stoker,Fox Searchlight,Drama,1703125.0,209486.0,201.0,2013.0,3,233.5281478014491,77.65040713230596
The Counselor,20th Century Fox,Thriller/Suspense,16960224.0,2086128.0,124.0,2013.0,7,215.0981676177804,120.88622365552636
Olympus Has Fallen,FilmDistrict,Thriller/Suspense,98927592.0,12168215.0,33.0,2013.0,17,184.7555101056034,149.92625008627758
The World's End,Focus Features,Comedy,26004851.0,3198628.0,99.0,2013.0,9,155.07871617361602,179.64640994315513
Elysium,Sony Pictures,Action,93050117.0,11445278.0,36.0,2013.0,17,125.42082861920957,209.38543658846052
The Lone Ranger,Walt Disney,Western,89302115.0,10984269.0,39.0,2013.0,17,99.53584602529224,239.88080797679743
Tyler Perry's Temptation,Lionsgate,Drama,51975354.0,6393032.0,67.0,2013.0,15,59.637379179903476,242.72902555756858
Pain & Gain,Paramount Pictures,Action,49875291.0,6134722.0,70.0,2013.0,15,22.374059706347516,257.2701748179161
Turbo,20th Century Fox,Adventure,83028130.0,10212562.0,43.0,2013.0,17,-16.19699112884412,267.8661192057025
Homefront,Open Road,Action,20158492.0,2479519.0,112.0,2013.0,7,-54.84098018204088,251.41491529667476
Before Midnight,Sony Pictures Cla...,Drama,8110621.0,997616.0,144.0,2013.0,5,-101.68235000943277,247.55666793634376
The Croods,20th Century Fox,Adventure,187168425.0,23021946.0,14.0,2013.0,20,-136.9806435039845,219.64555050309707
American Hustle,Sony Pictures,Black Comedy,87903772.0,10812272.0,41.0,2013.0,17,-164.5361738602965,190.65084845630292
Beautiful Creatures,Warner Bros.,Drama,19452138.0,2392636.0,115.0,2013.0,7,-195.77296181925848,162.5748252691269
After Earth,Sony Pictures,Action,60522097.0,7444292.0,59.0,2013.0,15,-226.47003583610737,133.9096958118211
Anchorman 2: The Legend Con...,Paramount Pictures,Comedy,108773941.0,13379328.0,27.0,2013.0,20,-244.80722894247606,98.3604715027065
The Fifth Estate,Walt Disney,Drama,3254172.0,400267.0,176.0,2013.0,3,-259.4798883969348,55.819749076618315
Star Trek Into Darkness,Paramount Pictures,Adventure,228778661.0,28140056.0,11.0,2013.0,20,-249.12340345011486,12.027703913754639
The Host,Open Road,Thriller/Suspense,26623701.0,3274747.0,98.0,2013.0,9,-256.15979135563805,-29.378687443655487
Top Gun,Paramount Pictures,Action,5418430.0,666473.0,165.0,2013.0,5,-254.46899568910274,-76.34826493817876
We're the Millers,Warner Bros.,Comedy,150394119.0,18498661.0,16.0,2013.0,20,-234.73136371431198,-116.7886640957998
Gangster Squad,Warner Bros.,Action,46000903.0,5658167.0,71.0,2013.0,13,-217.03084020136507,-152.65914593487767
Hubble 3D,Warner Bros.,Documentary,5361957.0,659527.0,166.0,2013.0,5,-193.41130805023147,-190.96211841693923
The Mortal Instruments: Cit...,Sony Pictures,Adventure,31165421.0,3833385.0,93.0,2013.0,9,-156.43619615389042,-219.97661652138797
Jack the Giant Slayer,Warner Bros.,Adventure,65187603.0,8018155.0,53.0,2013.0,15,-118.08340863540218,-237.09571958088537
Grudge Match,Warner Bros.,Comedy,24846211.0,3056114.0,104.0,2013.0,9,-77.53198060812616,-248.03106067975622
2013 Oscar Shorts,Shorts International,Multiple Genres,2142342.0,263510.0,195.0,2013.0,3,-35.10851850079199,-268.2609856135661
Ender's Game,Lionsgate,Adventure,61656849.0,7583868.0,57.0,2013.0,15,9.75126715176513,-271.8105815351648
Movie 43,Relativity,Comedy,8840453.0,1087386.0,143.0,2013.0,5,52.92447180981031,-284.50209049015297
The Bling Ring,A24,Drama,5845732.0,719032.0,160.0,2013.0,5,102.81198953157391,-287.8540414982561
The Gatekeepers,Sony Pictures Cla...,Documentary,2408553.0,296254.0,188.0,2013.0,3,147.1300501700552,-264.7043222506303
Argo,Warner Bros.,Thriller/Suspense,25918584.0,3188017.0,100.0,2013.0,9,184.9727515922464,-236.8308590809614
RED 2,Lionsgate,Action,53262560.0,6551360.0,66.0,2013.0,15,202.3825701913131,-198.60916084098793
One Direction: This is Us,Sony Pictures,Concert/Perfor...,28873374.0,3551460.0,95.0,2013.0,9,217.16867813273547,-159.29795363560427
Fill the Void,Sony Pictures Cla...,Drama,1774639.0,218282.0,200.0,2013.0,3,249.70758048813107,-125.38306260664723
About Time,Universal,Romantic Comedy,15323921.0,1884861.0,130.0,2013.0,7,275.16588899942917,-85.87515798309668
12 Years a Slave,Fox Searchlight,Drama,38472086.0,4732113.0,81.0,2013.0,13,279.3363758770038,-44.08272997030976
Don Jon,Relativity,Romantic Comedy,24475193.0,3010478.0,105.0,2013.0,9,279.825223103704,-2.085574966798543
All is Lost,Roadside Attractions,Thriller/Suspense,6047207.0,743813.0,157.0,2013.0,5,292.3419261185151,43.217097643534466
Oz the Great and Powerful,Walt Disney,Adventure,234770996.0,28877121.0,9.0,2013.0,22,277.7845207381671,85.79739764943172
Battle of the Year 3D,Sony Pictures,Drama,8888355.0,1093278.0,142.0,2013.0,5,261.5895193838221,127.78217978692487
Dhoom 3,Yash Raj Films,Action,7846872.0,965174.0,146.0,2013.0,5,229.0693884907882,165.76166223073844
Bullet to the Head,Warner Bros.,Action,9489829.0,1167260.0,140.0,2013.0,5,195.8108453137237,203.09622136486155
Oblivion,Universal,Thriller/Suspense,89107235.0,10960299.0,40.0,2013.0,17,159.71717810438065,229.97087833720627
Captain Phillips,Sony Pictures,Drama,104834734.0,12894801.0,29.0,2013.0,20,133.83219551046332,260.4662497255432
