title,artist,listType,Gross,Tickets_Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
Now You See Me,Lionsgate,Thriller/Suspense,117723989.0,14480195.0,23.0,2013.0,619.3749361597293,252.62506384027074,20,18.58385336624644
A Good Day to Die Hard,20th Century Fox,Action,67349198.0,8284034.0,51.0,2013.0,602.3749361597293,222.030946758714,15,18.02540155280617
Parental Guidance,20th Century Fox,Adventure,24927598.0,3066125.0,103.0,2013.0,579.4441187736047,214.94733087385637,9,17.03148610107842
Hotel Transylvania,Sony Pictures,Adventure,2140687.0,263307.0,196.0,2013.0,589.8985928456773,209.05632316070893,3,14.576637363516943
Much Ado About Nothing,Roadside Attractions,Romantic Comedy,4328850.0,532453.0,170.0,2013.0,595.429041011568,203.27582637544936,5,15.28081247578914
Filly Brown,Lionsgate,Drama,2850357.0,350597.0,183.0,2013.0,603.3905524793151,204.05962172433243,3,14.862954807557953
Promised Land,Focus Features,Drama,3202459.0,393906.0,177.0,2013.0,609.2407845010836,205.39183240266962,3,14.979429510173025
I'm in Love with a Church Girl,High Top Releasing,Drama,2387730.0,293693.0,189.0,2013.0,614.3281444849237,208.57283356501173,3,14.685853681775631
Runner Runner,20th Century Fox,Thriller/Suspense,19316646.0,2375971.0,116.0,2013.0,622.8070777913239,213.87450216891528,7,16.77647776919352
All is Lost,Roadside Attractions,Thriller/Suspense,6047207.0,743813.0,157.0,2013.0,622.007344343051,225.84782361334806,5,15.615107070519958
Mud,Roadside Attractions,Drama,21590086.0,2655607.0,108.0,2013.0,635.7199253549948,228.67007838407284,9,16.88774478580867
Mama,Universal,Horror,71628180.0,8810354.0,46.0,2013.0,655.6549213332887,245.36127173102705,17,18.08699912991938
Iron Man 3,Walt Disney,Action,408992272.0,50306552.0,1.0,2013.0,648.6769475802478,286.77754730358276,25,19.82920681896304
One Direction: This is Us,Sony Pictures,Concert/Perfor...,28873374.0,3551460.0,95.0,2013.0,615.1192649037898,281.3111103117065,9,17.178430413532357
Getaway,Warner Bros.,Thriller/Suspense,10501938.0,1291751.0,139.0,2013.0,604.2282433306973,272.5141989733768,5,16.167070369525113
Trance,Fox Searchlight,Thriller/Suspense,2322593.0,285681.0,191.0,2013.0,600.3338381085149,265.5260942256331,3,14.65819479192548
47 Ronin,Universal,Action,32687680.0,4020624.0,88.0,2013.0,594.0997673387373,287.8057790571272,13,17.302508806466413
The Counselor,20th Century Fox,Thriller/Suspense,16960224.0,2086128.0,124.0,2013.0,574.1567743959607,289.31476298161715,7,16.646381395787984
The Lone Ranger,Walt Disney,Western,89302115.0,10984269.0,39.0,2013.0,551.0835210844726,295.9196839973373,17,18.307535729776788
Skyfall,Sony Pictures,Action,7555911.0,929386.0,148.0,2013.0,542.887526392685,275.5033750505128,5,15.83784072881527
Rise of the Guardians,Paramount Pictures,Adventure,6185091.0,760773.0,156.0,2013.0,537.4990292554195,267.07935590276134,5,15.63765227671585
