Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
Kabali,Cinegalaxy,Action,3903095.0,451224.0,182.0,2016.0,3,697.1332478271523,362.81421458818835
Brooklyn,Fox Searchlight,Drama,18758748.0,2168641.0,115.0,2016.0,7,665.3759377284493,397.4620609180082
My Big Fat Greek Wedding 2,Universal,Comedy,59689605.0,6900532.0,53.0,2016.0,15,639.2004373195971,430.30780917171955
Allied,Paramount Pictures,Drama,39598941.0,4577912.0,72.0,2016.0,13,600.1346694719424,438.90232966288977
Nerve,Lionsgate,Thriller/Suspense,38583626.0,4460534.0,73.0,2016.0,13,561.4114160819031,448.92777962240825
Mike and Dave Need Wedding ...,20th Century Fox,Comedy,46009673.0,5319037.0,68.0,2016.0,15,522.882387261212,459.67552069364547
The Good Dinosaur,Walt Disney,Adventure,8320188.0,961871.0,154.0,2016.0,5,478.5297503739596,467.281018780394
Eye in the Sky,Bleecker Street,Thriller/Suspense,18704596.0,2162381.0,117.0,2016.0,7,434.08829749319307,451.98535711289463
Southside with You,Roadside Attractions,Drama,6304223.0,728811.0,163.0,2016.0,5,387.1952193864324,455.15383082641125
Hacksaw Ridge,Lionsgate,Drama,64606565.0,7468967.0,47.0,2016.0,17,352.6348300263212,426.33405485091987
Daddy's Home,Paramount Pictures,Comedy,56467276.0,6528008.0,55.0,2016.0,15,347.9112847430847,386.6139324951514
Warcraft,Universal,Action,47365290.0,5475756.0,66.0,2016.0,15,328.2698998496775,351.7683301977447
Manchester-by-the Sea,Roadside Attractions,Drama,28470697.0,3291410.0,93.0,2016.0,9,313.88624391715393,312.3080914501803
Moonlight,A24,Drama,12609768.0,1457776.0,135.0,2016.0,5,296.86615862875226,268.4980846392298
Miss Sloane,EuropaCorp,Drama,3493636.0,403888.0,190.0,2016.0,3,297.9986091754279,218.51091072672162
The Nice Guys,Warner Bros.,Black Comedy,36261763.0,4192111.0,78.0,2016.0,13,311.8033682358285,175.6806804298357
The Jungle Book,Walt Disney,Adventure,364001123.0,42081054.0,5.0,2016.0,25,327.79615178234184,139.01692619715556
Ice Age: Collision Course,20th Century Fox,Adventure,64063008.0,7406128.0,48.0,2016.0,17,351.09927355668253,106.5059355083093
Trolls,20th Century Fox,Adventure,150130292.0,17356103.0,19.0,2016.0,20,365.38475057619496,69.14385384353878
War Dogs,Warner Bros.,Black Comedy,43034523.0,4975089.0,69.0,2016.0,15,398.0484821280649,46.05531467131368
Teenage Mutant Ninja Turtle...,Paramount Pictures,Adventure,82051601.0,9485734.0,36.0,2016.0,17,437.65547925309727,40.46194549543401
Middle School: The Worst Ye...,Lionsgate,Adventure,20007149.0,2312965.0,112.0,2016.0,7,479.2958535946943,34.97749249703327
Bridget Jones's Baby,Universal,Romantic Comedy,24139805.0,2790728.0,103.0,2016.0,9,519.6685191634069,17.48326845374166
Criminal,Lionsgate,Action,14708696.0,1700427.0,128.0,2016.0,7,563.5754661340058,20.343339732753464
The Magnificent Seven,Sony Pictures,Western,93420253.0,10800029.0,30.0,2016.0,20,600.147313538512,40.995215614171855
Absolutely Fabulous: The Movie,Fox Searchlight,Comedy,4772155.0,551694.0,172.0,2016.0,3,645.1162374636698,42.667304431599945
Indignation,Roadside Attractions,Drama,3401155.0,393197.0,191.0,2016.0,3,671.1256715420614,85.36987272581152
Where to Invade Next,Drafthouse Films,Documentary,3827261.0,442457.0,184.0,2016.0,3,707.6447907809112,119.52179697641077
Star Trek Beyond,Paramount Pictures,Adventure,158848340.0,18363969.0,17.0,2016.0,20,718.0899712081766,163.29277144399455
Fifty Shades of Black,Open Road,Comedy,11686940.0,1351091.0,137.0,2016.0,5,747.1513382963382,197.65025888075456
The Legend of Tarzan,Warner Bros.,Adventure,126643061.0,14640816.0,23.0,2016.0,20,757.9581365307324,241.33335757946287
The Wanderers,Warner Bros.,Drama,5017811.0,580093.0,170.0,2016.0,5,758.7447735262306,286.3264815234314
Rogue One: A Star Wars Story,Walt Disney,Adventure,424987707.0,49131526.0,2.0,2016.0,25,759.964597157313,331.30994548863816
Hello My Name is Doris,Roadside Attractions,Drama,14444999.0,1669942.0,129.0,2016.0,7,743.5832219850904,369.9835869963484
The Other Side of the Door,20th Century Fox,Horror,3000342.0,346860.0,201.0,2016.0,3,716.9592309603829,408.715526037872
Mechanic: Resurrection,Lionsgate,Action,21218403.0,2452994.0,107.0,2016.0,9,680.7552899465586,438.68675649422005
The Hateful Eight,Weinstein Co.,Western,25071561.0,2898446.0,101.0,2016.0,9,650.6023912100358,470.73051872316245
The Girl on the Train,Universal,Thriller/Suspense,75395035.0,8716189.0,40.0,2016.0,17,609.2117218808944,477.8588069107768
Hillary's America: The Secr...,Quality Flix,Documentary,13099931.0,1514442.0,133.0,2016.0,5,567.0449081766342,493.5737622727946
Tyler Perry's Boo! A Madea ...,Lionsgate,Comedy,73206343.0,8463161.0,41.0,2016.0,17,522.4602053175242,499.67329266167417
A Hologram for the King,Roadside Attractions,Drama,4212494.0,486993.0,177.0,2016.0,3,481.0216696274417,517.2188835568752
Captain America: Civil War,Walt Disney,Action,408084349.0,47177381.0,3.0,2016.0,25,442.4056338765728,494.1147327850417
Assassin's Creed,20th Century Fox,Action,36415167.0,4209846.0,77.0,2016.0,13,402.5453304970182,497.45482477327585
God's Not Dead 2,Pure Flix Enterta...,Drama,20773069.0,2401510.0,110.0,2016.0,9,360.6903684978056,493.967396488067
Miss Peregrine's Home for P...,20th Century Fox,Adventure,86945137.0,10051461.0,34.0,2016.0,17,333.86020053570365,461.6542089769997
The Brothers Grimsby,Sony Pictures,Comedy,6864016.0,793527.0,160.0,2016.0,5,307.6524919967517,425.07339415368904
Max Steel,Open Road,Action,3818664.0,441464.0,185.0,2016.0,3,291.525165000376,377.7457138391842
Pride and Prejudice and Zom...,Sony Pictures,Comedy,10907291.0,1260958.0,140.0,2016.0,5,271.2328648901426,332.04864001343225
Swiss Army Man,A24,Drama,4210454.0,486757.0,178.0,2016.0,3,250.2780517256586,286.6515497405792
The Huntsman: Winter's War,Universal,Action,48003015.0,5549481.0,65.0,2016.0,15,259.987295818804,242.71147032394956
Rules Don't Apply,20th Century Fox,Romantic Comedy,3652206.0,422220.0,188.0,2016.0,3,252.22778206449652,198.3855191632952
The Purge: Election Year,Universal,Horror,79042440.0,9137854.0,37.0,2016.0,17,275.1510052481001,159.6618075788577
Deadpool,20th Century Fox,Action,363070709.0,41973492.0,6.0,2016.0,22,291.14378879461344,122.99805334617754
Ouija: Origin of Evil,Universal,Horror,35144505.0,4062948.0,81.0,2016.0,13,314.4469105689542,90.48706265733131
Alice Through the Looking G...,Walt Disney,Adventure,77042381.0,8906633.0,38.0,2016.0,17,328.73238758846657,53.12498099256075
Keanu,Warner Bros.,Comedy,20591853.0,2380561.0,111.0,2016.0,7,361.0101596430769,26.25221724949523
Compadres,Lionsgate,Comedy,3127773.0,361592.0,199.0,2016.0,3,400.73619769693033,1.1356509924650027
Independence Day: Resurgence,20th Century Fox,Action,103144286.0,11924194.0,27.0,2016.0,20,445.7359444538099,1.2866205811455416
Hail  Caesar!,Universal,Comedy,30080225.0,3477482.0,89.0,2016.0,13,484.9424435821982,-6.641205482516966
Mother's Day,Open Road,Romantic Comedy,32492859.0,3756399.0,85.0,2016.0,13,520.7327707703181,-24.503245673025162
The Big Short,Paramount Pictures,Drama,37204389.0,4301085.0,75.0,2016.0,13,560.6238092959684,-21.55281429014542
Bad Santa 2,Broad Green Pictures,Comedy,17725773.0,2049222.0,119.0,2016.0,7,599.3438225104492,-5.281349184923982
Suicide Squad,Warner Bros.,Action,325100054.0,37583821.0,9.0,2016.0,22,641.2280035560133,-2.1643990501923724
Don't Breathe,Sony Pictures,Horror,89217875.0,10314205.0,33.0,2016.0,17,678.462342755631,12.450797984668725
The Meddler,Sony Pictures Cla...,Comedy,4267219.0,493320.0,175.0,2016.0,3,705.1206144832437,48.704577766875786
Star Wars Ep. VII: The Forc...,Walt Disney,Adventure,194453283.0,22480148.0,13.0,2016.0,20,734.1074378869283,83.12497969601657
The Shallows,Sony Pictures,Thriller/Suspense,55121623.0,6372441.0,60.0,2016.0,15,752.634838746997,118.57544397182434
Race,Focus Features,Drama,19115191.0,2209848.0,114.0,2016.0,7,770.2353452516793,156.70970902018522
Ae Dil Hai Mushkil,FIP,Drama,4264983.0,493061.0,176.0,2016.0,3,797.0950568355793,195.2785551739102
Zootopia,Walt Disney,Adventure,341268248.0,39452976.0,7.0,2016.0,22,797.9440144417399,240.27054636104197
Morgan,20th Century Fox,Thriller/Suspense,3915251.0,452630.0,181.0,2016.0,3,808.6891584074726,283.96885160456003
Deepwater Horizon,Lionsgate,Thriller/Suspense,61433527.0,7102141.0,52.0,2016.0,15,799.8347155230856,328.08912858926544
10 Cloverfield Lane,Paramount Pictures,Thriller/Suspense,72082999.0,8333294.0,43.0,2016.0,17,785.3286279118333,365.3661110612236
The Perfect Match,Lionsgate,Romantic Comedy,9669521.0,1117863.0,146.0,2016.0,5,771.1275030961197,408.0665566557197
The Lady in the Van,Sony Pictures Cla...,Drama,10021175.0,1158517.0,144.0,2016.0,5,744.5468511020002,450.4159242964238
Hands of Stone,Weinstein Co.,Drama,4712792.0,544831.0,173.0,2016.0,3,703.9303539144352,479.5758309528676
Our Kind of Traitor,Roadside Attractions,Thriller/Suspense,3153157.0,364526.0,198.0,2016.0,3,668.0316726175448,514.3793463089964
Midnight Special,Warner Bros.,Drama,3712282.0,429166.0,187.0,2016.0,3,618.5958740558591,521.8694611658218
Triple 9,Open Road,Thriller/Suspense,12639297.0,1461190.0,134.0,2016.0,5,573.3614620163587,543.173168998983
Masterminds,Relativity,Comedy,17356894.0,2006577.0,120.0,2016.0,7,526.3916505793742,541.4888847076213
Now You See Me 2,Lionsgate,Thriller/Suspense,65075540.0,7523183.0,46.0,2016.0,17,489.42590340211245,561.4271277502457
Jackie,Fox Searchlight,Drama,6469725.0,747945.0,162.0,2016.0,5,445.3669735766382,552.2723092029489
A Beautiful Planet,Walt Disney,Documentary,15650615.0,1809319.0,125.0,2016.0,7,400.1676278344762,539.3874675477127
Zoolander 2,Paramount Pictures,Comedy,28848693.0,3335109.0,92.0,2016.0,9,356.19857421945585,537.7375208214635
Money Monster,Sony Pictures,Thriller/Suspense,41012075.0,4741280.0,71.0,2016.0,13,322.8542992156881,512.2001105284617
Kung Fu Panda 3,20th Century Fox,Adventure,143528619.0,16592903.0,20.0,2016.0,20,298.5435950480163,480.435512894115
Almost Christmas,Universal,Drama,42002805.0,4855815.0,70.0,2016.0,15,271.1061026242137,451.3290873235683
Batman v Superman: Dawn of ...,Warner Bros.,Action,330360194.0,38191930.0,8.0,2016.0,22,262.6246507587995,412.23861566800156
Office Christmas Party,Paramount Pictures,Comedy,51137285.0,5911824.0,63.0,2016.0,15,246.57639317219423,375.5991092789416
Whiskey Tango Foxtrot,Paramount Pictures,Comedy,23083334.0,2668593.0,105.0,2016.0,9,224.85225656645076,339.65384688269535
The Light Between Oceans,Walt Disney,Drama,12545979.0,1450402.0,136.0,2016.0,5,201.7563793010491,298.71999227136536
Room,A24,Drama,9700702.0,1121468.0,145.0,2016.0,5,215.56563769758048,250.66477005215359
The Mermaid,Sony Pictures,Romantic Comedy,3229457.0,373347.0,196.0,2016.0,3,202.39175023646726,202.43149637969873
Ben-Hur,Paramount Pictures,Adventure,26410477.0,3053234.0,99.0,2016.0,9,224.089208949569,160.73952730418918
Bad Moms,STX Entertainment,Comedy,113257297.0,13093329.0,25.0,2016.0,20,250.54895292882958,128.122324043456
The Choice,Lionsgate,Drama,18730891.0,2165420.0,116.0,2016.0,7,266.25267358047086,89.16859305789808
Sausage Party,Sony Pictures,Comedy,97670358.0,11291370.0,29.0,2016.0,20,288.73642825666263,53.69352046233004
Popstar: Never Stop Never S...,Universal,Comedy,9496130.0,1097818.0,147.0,2016.0,5,308.1614439543945,13.102034099511656
The Divergent Series: Alleg...,Lionsgate,Action,66184051.0,7651335.0,45.0,2016.0,17,345.0898951871541,-12.613515467816057
Sisters,Universal,Comedy,37921265.0,4383961.0,74.0,2016.0,13,376.8129701813234,-36.97837772710892
Lights Out,Warner Bros.,Horror,67268835.0,7776744.0,44.0,2016.0,17,416.613269778922,-40.97038874179685
Meet the Blacks,Freestyle Releasing,Comedy,9097072.0,1051684.0,151.0,2016.0,5,461.43150306768325,-45.01092891288505
Sing Street,Weinstein Co.,Musical,3237118.0,374233.0,195.0,2016.0,3,506.2784505543123,-67.11864930942369
Hunt for the Wilderpeople,The Orchard,Comedy,5205471.0,601788.0,167.0,2016.0,5,556.2724173485237,-66.34193560458641
The 5th Wave,Sony Pictures,Action,34912982.0,4036182.0,82.0,2016.0,13,597.0057830989849,-47.21622216327506
The Accountant,Warner Bros.,Thriller/Suspense,85856696.0,9925630.0,35.0,2016.0,17,636.651158289741,-41.90169245838263
The Witch,A24,Horror,25138705.0,2906208.0,100.0,2016.0,9,676.783256871746,-29.51562514852833
Dangal,UTV Communications,Action,9225794.0,1066565.0,149.0,2016.0,5,718.5580247323561,-7.978012230841102
Neighbors 2: Sorority Rising,Universal,Comedy,55340730.0,6397772.0,59.0,2016.0,15,745.2162964599688,28.27576755136596
Hardcore Henry,STX Entertainment,Action,9252038.0,1069599.0,148.0,2016.0,5,774.2031198636535,62.69616948050674
Risen,Sony Pictures,Drama,36880033.0,4263587.0,76.0,2016.0,13,790.1755244361921,104.76613848657027
The Young Messiah,Focus Features,Drama,6469813.0,747955.0,161.0,2016.0,5,814.9766784154162,142.3148103845058
Storks,Warner Bros.,Adventure,72414850.0,8371659.0,42.0,2016.0,17,839.4500107580614,180.0779670857992
How to be Single,Warner Bros.,Romantic Comedy,46843513.0,5415435.0,67.0,2016.0,15,834.8209977607419,219.80921723817482
Ratchet and Clank,Focus Features,Adventure,8813410.0,1018891.0,153.0,2016.0,5,853.0713107440442,260.9422462539367
Green Room,A24,Horror,3220371.0,372297.0,197.0,2016.0,3,850.8218597723169,310.8916203273502
Collateral Beauty,Warner Bros.,Drama,24342478.0,2814159.0,102.0,2016.0,9,832.6896138524914,354.2531431085323
The Secret Life of Pets,Universal,Adventure,368384330.0,42587783.0,4.0,2016.0,25,814.9014635590054,392.300241672501
Why Him?,20th Century Fox,Comedy,30633916.0,3541493.0,87.0,2016.0,13,809.2944262416343,431.9053061532162
Love & Friendship,Roadside Attractions,Drama,14016568.0,1620412.0,131.0,2016.0,5,789.4956561054048,472.3158085145176
The Wild Life,Lionsgate,Adventure,8005586.0,925501.0,155.0,2016.0,5,748.8791589178397,501.4757151709615
Florence Foster Jenkins,Paramount Pictures,Drama,27383770.0,3165753.0,96.0,2016.0,9,712.0951271983413,530.7320821781434
Joy,20th Century Fox,Drama,28141138.0,3253310.0,94.0,2016.0,9,679.2579385369403,560.0189229230166
Eddie the Eagle,20th Century Fox,Drama,15789389.0,1825362.0,124.0,2016.0,7,635.6232036178199,565.6766529040327
The Hunger Games: Mockingja...,Lionsgate,Thriller/Suspense,7538507.0,871503.0,157.0,2016.0,5,594.5225928522711,588.4744553134508
Concussion,Sony Pictures,Drama,17111463.0,1978203.0,121.0,2016.0,7,547.8826588201824,582.6678596255789
The Finest Hours,Walt Disney,Thriller/Suspense,27569558.0,3187232.0,95.0,2016.0,9,507.2180661255504,599.4723501260278
Nocturnal Animals,Focus Features,Thriller/Suspense,10185257.0,1177486.0,143.0,2016.0,5,460.2211973676347,600.0148692051837
Don't Think Twice,Film Arcade,Comedy,4417983.0,510749.0,174.0,2016.0,3,411.44781566849827,589.0077243605685
13 Hours: The Secret Soldie...,Paramount Pictures,Thriller/Suspense,52853219.0,6110198.0,62.0,2016.0,15,367.788097440591,578.1068526403922
Captain Fantastic,Bleecker Street,Drama,5879835.0,679749.0,164.0,2016.0,5,323.3046395007307,571.3081785260757
,,,,,,,50,748.5309832287446,261.6647106932794
Thank You for Your Service,Universal,Drama,9479390.0,1056788.0,137.0,2017.0,5,790.5309832287446,261.6647106932794
Kingsman: The Golden Circle,20th Century Fox,Action,100227039.0,11173583.0,35.0,2017.0,17,761.7214594192209,227.09577466874316
Jumanji: Welcome to the Jungle,Sony Pictures,Adventure,169002557.0,18840865.0,18.0,2017.0,20,761.7214594192209,296.2336467178157
Daddy's Home 2,Paramount Pictures,Comedy,101791381.0,11347980.0,33.0,2017.0,17,722.5717792489165,288.0298340332844
Night of the Living Dead,Walter Reade Orga...,Horror,12087064.0,1347498.0,130.0,2017.0,7,712.2674717961628,247.3134829207507
Alien: Covenant,20th Century Fox,Horror,74262031.0,8278933.0,42.0,2017.0,17,726.653541307113,207.8541240305443
The Promise,Open Road,Drama,8224288.0,916865.0,142.0,2017.0,5,763.578893731651,182.13412503513868
Rock Dog,Lionsgate,Adventure,9420546.0,1050228.0,139.0,2017.0,5,803.9708697049949,211.60425019552457
The Circle,STX Entertainment,Thriller/Suspense,20497844.0,2285155.0,104.0,2017.0,9,835.118754023524,246.8009730895601
A United Kingdom,Fox Searchlight,Drama,3902185.0,435026.0,173.0,2017.0,3,829.1517065704261,293.4206507449502
Phoenix Forgotten,Entertainment Stu...,Horror,3600146.0,401354.0,180.0,2017.0,3,793.3101043551616,328.28294485538913
Ferdinand,20th Century Fox,Adventure,53546717.0,5969534.0,51.0,2017.0,15,748.6809534939449,334.0482630085153
Atomic Blonde,Focus Features,Thriller/Suspense,51573925.0,5749601.0,52.0,2017.0,15,709.5312733236406,325.84445032398395
Diary of a Wimpy Kid: The L...,20th Century Fox,Adventure,20738724.0,2312009.0,103.0,2017.0,9,681.1369406887958,294.8967222293113
Logan Lucky,Bleecker Street,Comedy,27778642.0,3096838.0,91.0,2017.0,9,668.6009390534127,252.7203228690331
Rings,Paramount Pictures,Horror,27793018.0,3098441.0,90.0,2017.0,13,686.037819363762,214.5109626932521
Ghost in the Shell,Paramount Pictures,Action,40563557.0,4522135.0,67.0,2017.0,15,700.797942291206,177.3338357041108
The Nut Job 2: Nutty by Nature,Open Road,Adventure,28370522.0,3162822.0,88.0,2017.0,13,730.9930721536418,151.09923769707746
The Founder,Weinstein Co.,Drama,12786053.0,1425424.0,126.0,2017.0,7,770.0196875904795,135.5775339392683
The Fate of the Furious,Universal,Action,225764765.0,25168870.0,10.0,2017.0,22,803.366508352352,161.11161988483423
Kong: Skull Island,Warner Bros.,Adventure,168052812.0,18734985.0,19.0,2017.0,20,837.6353371504008,181.742843135287
A Monster Calls,Focus Features,Drama,3740823.0,417037.0,176.0,2017.0,3,868.8924601887284,214.1155516930653
Trolls,20th Century Fox,Adventure,3576772.0,398748.0,181.0,2017.0,3,879.2256582990004,263.03615079828757
Suburbicon,Paramount Pictures,Black Comedy,5775178.0,643832.0,160.0,2017.0,5,875.211848876403,312.8747837442168
Before I Fall,Open Road,Drama,12241072.0,1364668.0,129.0,2017.0,7,838.2806019310755,341.9450950439473
Tiger Zinda Hai,Yash Raj Films,Action,4572231.0,509724.0,168.0,2017.0,5,806.4498899445387,376.52551977283315
The Mountain Between Us,20th Century Fox,Adventure,30348555.0,3383339.0,85.0,2017.0,13,761.6910084588123,371.8733667071323
Doctor Strange,Walt Disney,Action,2534130.0,282511.0,197.0,2017.0,3,716.7197035209506,370.26658975128305
Lowriders,BH Tilt,Drama,6179955.0,688958.0,156.0,2017.0,5,671.2422957141034,349.486662437413
Your Name,FUNimation,Drama,5000181.0,557433.0,166.0,2017.0,5,637.5685641812377,312.52614560319546
