Movie;Distributor;Genre;Gross;Tickets Sold;rank;releaseYear
Bajirao Mastani;Eros Entertainment;Drama;5848971;693828;159;2015
Victor Frankenstein;20th Century Fox;Thriller/Suspense;5775076;685062;160;2015
Danny Collins;Bleecker Street;Comedy;5637066;668691;161;2015
A Most Violent Year;A24;Drama;5463088;648053;162;2015
Interstellar;Paramount Pictures;Adventure;5215800;618718;163;2015
Carol;Weinstein Co.;Drama;4982475;591040;164;2015
Room;A24;Drama;4976972;590388;165;2015
90 Minutes in Heaven;Samuel Goldwyn Films;Drama;4816142;571309;166;2015
True Story;Fox Searchlight;Drama;4719695;559869;167;2015
Dilwale;UTV Communications;Romantic Comedy;4704632;558082;168;2015
Suffragette;Focus Features;Drama;4668603;553808;169;2015
Big Eyes;Weinstein Co.;Drama;4558006;540688;170;2015
Prem Ratan Dhan Payo;Fox International;Drama;4364639;517751;171;2015
The Water Diviner;Warner Bros.;Drama;4200117;498234;172;2015
Foxcatcher;Sony Pictures Cla...;Drama;4153511;492705;173;2015
Hubble 3D;Warner Bros.;Documentary;4088852;485036;174;2015
Irrational Man;Sony Pictures Cla...;Comedy;4030360;478097;175;2015
Scouts Guide to the Zombie ...;Paramount Pictures;Comedy;3703046;439269;176;2015
A La Mala;Lionsgate;Romantic Comedy;3629842;430586;177;2015
Spare Parts;Lionsgate;Drama;3618912;429289;178;2015
We Are Your Friends;Warner Bros.;Drama;3591417;426028;179;2015
Mommy;Roadside Attractions;Drama;3498695;415029;180;2015
What We Do in the Shadows;Unison/Paladin;Comedy;3469224;411533;181;2015
Learning to Drive;Broad Green Pictures;Drama;3447633;408971;182;2015
Space Station;IMAX Films;Documentary;3201391;379761;183;2015
Phoenix;IFC Films;Drama;3166858;375665;184;2015
Wild Tales;Sony Pictures Cla...;Comedy;3107072;368573;185;2015
Dil Dhadakne Do;Eros Entertainment;Drama;3066100;363712;186;2015
Ladrones;Lionsgate;Comedy;3063505;363405;187;2015
Tanu Weds Manu Returns;Eros Entertainment;Comedy;3043479;361029;188;2015
Rock the Kasbah;Open Road;Comedy;3020665;358323;189;2015
Mr. Turner;Sony Pictures Cla...;Drama;2995728;355365;190;2015
He Named Me Malala;Fox Searchlight;Documentary;2668936;316600;191;2015
Chi-raq;Amazon Studios/Ro...;Drama;2601330;308580;192;2015
Captive;Paramount Pictures;Drama;2583301;306441;193;2015
The Interview;Sony Pictures;Comedy;2552397;302775;194;2015
Truth;Sony Pictures Cla...;Thriller/Suspense;2517245;298605;195;2015
Mistress America;Fox Searchlight;Comedy;2500431;296611;196;2015
Pawn Sacrifice;Bleecker Street;Drama;2436308;289004;197;2015
2015 Oscar Shorts;ShortsHD;Multiple Genres;2412493;286179;198;2015
Meru;Music Box Films;Documentary;2334228;276895;199;2015
My All-American;Clarius Entertain...;Drama;2246000;266429;200;2015
Ode to My Father;CJ Entertainment;Drama;2209071;262048;201;2015
Finding Dory;Walt Disney;Adventure;486295561;56219140;1;2016
Rogue One: A Star Wars Story;Walt Disney;Adventure;424987707;49131526;2;2016
Captain America: Civil War;Walt Disney;Action;408084349;47177381;3;2016
The Secret Life of Pets;Universal;Adventure;368384330;42587783;4;2016
The Jungle Book;Walt Disney;Adventure;364001123;42081054;5;2016
Deadpool;20th Century Fox;Action;363070709;41973492;6;2016
Zootopia;Walt Disney;Adventure;341268248;39452976;7;2016
Batman v Superman: Dawn of ...;Warner Bros.;Action;330360194;38191930;8;2016
Suicide Squad;Warner Bros.;Action;325100054;37583821;9;2016
Doctor Strange;Walt Disney;Action;230107790;26602056;10;2016
Fantastic Beasts and Where ...;Warner Bros.;Adventure;222675573;25742841;11;2016
Moana;Walt Disney;Musical;210046114;24282787;12;2016
Star Wars Ep. VII: The Forc...;Walt Disney;Adventure;194453283;22480148;13;2016
The Revenant;20th Century Fox;Adventure;182765375;21128945;14;2016
Sing;Universal;Adventure;166497820;19248302;15;2016
Jason Bourne;Universal;Action;162192920;18750626;16;2016
Star Trek Beyond;Paramount Pictures;Adventure;158848340;18363969;17;2016
X-Men: Apocalypse;20th Century Fox;Action;155442489;17970229;18;2016
Trolls;20th Century Fox;Adventure;150130292;17356103;19;2016
Kung Fu Panda 3;20th Century Fox;Adventure;143528619;16592903;20;2016
Ghostbusters;Sony Pictures;Comedy;128350574;14838216;21;2016
Central Intelligence;Warner Bros.;Comedy;127440871;14733049;22;2016
The Legend of Tarzan;Warner Bros.;Adventure;126643061;14640816;23;2016
Sully;Warner Bros.;Drama;124976335;14448131;24;2016
Bad Moms;STX Entertainment;Comedy;113257297;13093329;25;2016
The Angry Birds Movie;Sony Pictures;Adventure;107509366;12428828;26;2016
Independence Day: Resurgence;20th Century Fox;Action;103144286;11924194;27;2016
The Conjuring 2: The Enfiel...;Warner Bros.;Horror;102470008;11846244;28;2016
Sausage Party;Sony Pictures;Comedy;97670358;11291370;29;2016
The Magnificent Seven;Sony Pictures;Western;93420253;10800029;30;2016
Arrival;Paramount Pictures;Drama;92191690;10657998;31;2016
Ride Along 2;Universal;Comedy;90862685;10504356;32;2016
Don't Breathe;Sony Pictures;Horror;89217875;10314205;33;2016
Miss Peregrine's Home for P...;20th Century Fox;Adventure;86945137;10051461;34;2016
The Accountant;Warner Bros.;Thriller/Suspense;85856696;9925630;35;2016
Teenage Mutant Ninja Turtle...;Paramount Pictures;Adventure;82051601;9485734;36;2016
The Purge: Election Year;Universal;Horror;79042440;9137854;37;2016
Alice Through the Looking G...;Walt Disney;Adventure;77042381;8906633;38;2016
Pete's Dragon;Walt Disney;Adventure;76233151;8813081;39;2016
The Girl on the Train;Universal;Thriller/Suspense;75395035;8716189;40;2016
Tyler Perry's Boo! A Madea ...;Lionsgate;Comedy;73206343;8463161;41;2016
Storks;Warner Bros.;Adventure;72414850;8371659;42;2016
10 Cloverfield Lane;Paramount Pictures;Thriller/Suspense;72082999;8333294;43;2016
Lights Out;Warner Bros.;Horror;67268835;7776744;44;2016
The Divergent Series: Alleg...;Lionsgate;Action;66184051;7651335;45;2016
Now You See Me 2;Lionsgate;Thriller/Suspense;65075540;7523183;46;2016
Hacksaw Ridge;Lionsgate;Drama;64606565;7468967;47;2016
Ice Age: Collision Course;20th Century Fox;Adventure;64063008;7406128;48;2016
The Boss;Universal;Comedy;63077560;7292203;49;2016
London Has Fallen;Focus Features;Thriller/Suspense;62524260;7228238;50;2016
Miracles from Heaven;Sony Pictures;Drama;61705123;7133540;51;2016
Deepwater Horizon;Lionsgate;Thriller/Suspense;61433527;7102141;52;2016
My Big Fat Greek Wedding 2;Universal;Comedy;59689605;6900532;53;2016
Jack Reacher: Never Go Back;Paramount Pictures;Action;58574515;6771620;54;2016
Daddy's Home;Paramount Pictures;Comedy;56467276;6528008;55;2016
Me Before You;Warner Bros.;Drama;56245075;6502321;56;2016
The BFG;Walt Disney;Adventure;55483770;6414308;57;2016
Passengers;Sony Pictures;Thriller/Suspense;55380209;6402336;58;2016
Neighbors 2: Sorority Rising;Universal;Comedy;55340730;6397772;59;2016
The Shallows;Sony Pictures;Thriller/Suspense;55121623;6372441;60;2016
Barbershop: The Next Cut;Warner Bros.;Comedy;54030051;6246249;61;2016
13 Hours: The Secret Soldie...;Paramount Pictures;Thriller/Suspense;52853219;6110198;62;2016
Office Christmas Party;Paramount Pictures;Comedy;51137285;5911824;63;2016
Kubo and the Two Strings;Focus Features;Adventure;48023088;5551802;64;2016
The Huntsman: Winter's War;Universal;Action;48003015;5549481;65;2016
Warcraft;Universal;Action;47365290;5475756;66;2016
How to be Single;Warner Bros.;Romantic Comedy;46843513;5415435;67;2016
Mike and Dave Need Wedding ...;20th Century Fox;Comedy;46009673;5319037;68;2016
War Dogs;Warner Bros.;Black Comedy;43034523;4975089;69;2016
Almost Christmas;Universal;Drama;42002805;4855815;70;2016
Money Monster;Sony Pictures;Thriller/Suspense;41012075;4741280;71;2016
Allied;Paramount Pictures;Drama;39598941;4577912;72;2016
Nerve;Lionsgate;Thriller/Suspense;38583626;4460534;73;2016
Sisters;Universal;Comedy;37921265;4383961;74;2016
The Big Short;Paramount Pictures;Drama;37204389;4301085;75;2016
Risen;Sony Pictures;Drama;36880033;4263587;76;2016
Assassin's Creed;20th Century Fox;Action;36415167;4209846;77;2016
The Nice Guys;Warner Bros.;Black Comedy;36261763;4192111;78;2016
The Boy;STX Entertainment;Horror;35819556;4140989;79;2016
Dirty Grandpa;Lionsgate;Comedy;35593113;4114810;80;2016
Ouija: Origin of Evil;Universal;Horror;35144505;4062948;81;2016
The 5th Wave;Sony Pictures;Action;34912982;4036182;82;2016
La La Land;Lionsgate;Musical;34268613;3961689;83;2016
Inferno;Sony Pictures;Thriller/Suspense;34221651;3956260;84;2016
Mother's Day;Open Road;Romantic Comedy;32492859;3756399;85;2016
Gods of Egypt;Lionsgate;Adventure;31153464;3601556;86;2016
Why Him?;20th Century Fox;Comedy;30633916;3541493;87;2016
Alvin and the Chipmunks: Th...;20th Century Fox;Adventure;30311560;3504226;88;2016
Hail  Caesar!;Universal;Comedy;30080225;3477482;89;2016
When the Bough Breaks;Sony Pictures;Thriller/Suspense;29747603;3439029;90;2016
Fences;Paramount Pictures;Drama;29743615;3438568;91;2016
Zoolander 2;Paramount Pictures;Comedy;28848693;3335109;92;2016
Manchester-by-the Sea;Roadside Attractions;Drama;28470697;3291410;93;2016
Joy;20th Century Fox;Drama;28141138;3253310;94;2016
The Finest Hours;Walt Disney;Thriller/Suspense;27569558;3187232;95;2016
Florence Foster Jenkins;Paramount Pictures;Drama;27383770;3165753;96;2016
Hell or High Water;Lionsgate;Western;27007844;3122294;97;2016
The Forest;Focus / Gramercy;Horror;26594261;3074481;98;2016
Ben-Hur;Paramount Pictures;Adventure;26410477;3053234;99;2016
The Witch;A24;Horror;25138705;2906208;100;2016
The Hateful Eight;Weinstein Co.;Western;25071561;2898446;101;2016
Collateral Beauty;Warner Bros.;Drama;24342478;2814159;102;2016
Bridget Jones's Baby;Universal;Romantic Comedy;24139805;2790728;103;2016
Kevin Hart: What Now?;Universal;Concert/Perfor...;23591043;2727288;104;2016
Whiskey Tango Foxtrot;Paramount Pictures;Comedy;23083334;2668593;105;2016
Snowden;Open Road;Drama;21587519;2495666;106;2016
Mechanic: Resurrection;Lionsgate;Action;21218403;2452994;107;2016
Free State of Jones;STX Entertainment;Drama;20810036;2405784;108;2016
Blair Witch;Lionsgate;Horror;20777061;2401972;109;2016
God's Not Dead 2;Pure Flix Enterta...;Drama;20773069;2401510;110;2016
Keanu;Warner Bros.;Comedy;20591853;2380561;111;2016
Middle School: The Worst Ye...;Lionsgate;Adventure;20007149;2312965;112;2016
Nine Lives;EuropaCorp;Adventure;19700032;2277460;113;2016
Race;Focus Features;Drama;19115191;2209848;114;2016
Brooklyn;Fox Searchlight;Drama;18758748;2168641;115;2016
The Choice;Lionsgate;Drama;18730891;2165420;116;2016
Eye in the Sky;Bleecker Street;Thriller/Suspense;18704596;2162381;117;2016
Spotlight;Open Road;Drama;17946804;2074775;118;2016
Bad Santa 2;Broad Green Pictures;Comedy;17725773;2049222;119;2016
Masterminds;Relativity;Comedy;17356894;2006577;120;2016
Concussion;Sony Pictures;Drama;17111463;1978203;121;2016
Norm of the North;Lionsgate;Adventure;17062499;1972543;122;2016
The Birth of a Nation;Fox Searchlight;Drama;15861566;1833707;123;2016
Eddie the Eagle;20th Century Fox;Drama;15789389;1825362;124;2016
A Beautiful Planet;Walt Disney;Documentary;15650615;1809319;125;2016
The Infiltrator;Broad Green Pictures;Thriller/Suspense;15436808;1784602;126;2016
Keeping Up with the Joneses;20th Century Fox;Comedy;14904426;1723055;127;2016
Criminal;Lionsgate;Action;14708696;1700427;128;2016
Hello My Name is Doris;Roadside Attractions;Drama;14444999;1669942;129;2016
The Edge of Seventeen;STX Entertainment;Drama;14406786;1665524;130;2016
Love & Friendship;Roadside Attractions;Drama;14016568;1620412;131;2016
Point Break;Warner Bros.;Action;13197946;1525774;132;2016
Hillary's America: The Secr...;Quality Flix;Documentary;13099931;1514442;133;2016
Triple 9;Open Road;Thriller/Suspense;12639297;1461190;134;2016
Moonlight;A24;Drama;12609768;1457776;135;2016
The Light Between Oceans;Walt Disney;Drama;12545979;1450402;136;2016
Fifty Shades of Black;Open Road;Comedy;11686940;1351091;137;2016
No Manches Frida;Lionsgate;Comedy;11528613;1332787;138;2016
Café Society;Lionsgate;Drama;11103205;1283607;139;2016
Pride and Prejudice and Zom...;Sony Pictures;Comedy;10907291;1260958;140;2016
The Darkness;High Top Releasing;Horror;10753574;1243187;141;2016
Creed;Warner Bros.;Drama;10382416;1200279;142;2016
Nocturnal Animals;Focus Features;Thriller/Suspense;10185257;1177486;143;2016
The Lady in the Van;Sony Pictures Cla...;Drama;10021175;1158517;144;2016
Room;A24;Drama;9700702;1121468;145;2016
The Perfect Match;Lionsgate;Romantic Comedy;9669521;1117863;146;2016
Popstar: Never Stop Never S...;Universal;Comedy;9496130;1097818;147;2016
Hardcore Henry;STX Entertainment;Action;9252038;1069599;148;2016
Dangal;UTV Communications;Action;9225794;1066565;149;2016
The Lobster;A24;Romantic Comedy;9196278;1063153;150;2016
Meet the Blacks;Freestyle Releasing;Comedy;9097072;1051684;151;2016
The Queen of Katwe;Walt Disney;Drama;8857311;1023966;152;2016
Ratchet and Clank;Focus Features;Adventure;8813410;1018891;153;2016
The Good Dinosaur;Walt Disney;Adventure;8320188;961871;154;2016
The Wild Life;Lionsgate;Adventure;8005586;925501;155;2016
Carol;Weinstein Co.;Drama;7729016;893527;156;2016
The Hunger Games: Mockingja...;Lionsgate;Thriller/Suspense;7538507;871503;157;2016
Loving;Focus Features;Drama;7482608;865041;158;2016
Shut In;EuropaCorp;Thriller/Suspense;6897838;797437;159;2016
The Brothers Grimsby;Sony Pictures;Comedy;6864016;793527;160;2016
The Young Messiah;Focus Features;Drama;6469813;747955;161;2016
Jackie;Fox Searchlight;Drama;6469725;747945;162;2016
Southside with You;Roadside Attractions;Drama;6304223;728811;163;2016
Captain Fantastic;Bleecker Street;Drama;5879835;679749;164;2016
Sultan;Yash Raj Films;Action;5599781;647373;165;2016
Lion;Weinstein Co.;Drama;5303700;613145;166;2016
Hunt for the Wilderpeople;The Orchard;Comedy;5205471;601788;167;2016
Bleed for This;Open Road;Drama;5083906;587734;168;2016
The Danish Girl;Focus Features;Drama;5063669;585395;169;2016
The Wanderers;Warner Bros.;Drama;5017811;580093;170;2016
Incarnate;High Top Releasing;Horror;4799774;554887;171;2016
Absolutely Fabulous: The Movie;Fox Searchlight;Comedy;4772155;551694;172;2016
Hands of Stone;Weinstein Co.;Drama;4712792;544831;173;2016
Don't Think Twice;Film Arcade;Comedy;4417983;510749;174;2016
The Meddler;Sony Pictures Cla...;Comedy;4267219;493320;175;2016
Ae Dil Hai Mushkil;FIP;Drama;4264983;493061;176;2016
A Hologram for the King;Roadside Attractions;Drama;4212494;486993;177;2016
Swiss Army Man;A24;Drama;4210454;486757;178;2016
Denial;Bleecker Street;Drama;4073448;470918;179;2016
45 Years;IFC Films;Drama;4021334;464894;180;2016
Morgan;20th Century Fox;Thriller/Suspense;3915251;452630;181;2016
Kabali;Cinegalaxy;Action;3903095;451224;182;2016
The Man Who Knew Infinity;IFC Films;Drama;3877922;448314;183;2016
Where to Invade Next;Drafthouse Films;Documentary;3827261;442457;184;2016
Max Steel;Open Road;Action;3818664;441464;185;2016
Batman: The Killing Joke;Fathom Events;Action;3775000;436416;186;2016
Midnight Special;Warner Bros.;Drama;3712282;429166;187;2016
Rules Don't Apply;20th Century Fox;Romantic Comedy;3652206;422220;188;2016
Anomalisa;Paramount Pictures;Comedy;3548654;410249;189;2016
Miss Sloane;EuropaCorp;Drama;3493636;403888;190;2016
Indignation;Roadside Attractions;Drama;3401155;393197;191;2016
Everybody Wants Some;Paramount Pictures;Comedy;3400278;393095;192;2016
Maggie's Plan;Sony Pictures Cla...;Comedy;3351735;387483;193;2016
A Man Called Ove;Music Box Films;Comedy;3336006;385665;194;2016
Sing Street;Weinstein Co.;Musical;3237118;374233;195;2016
The Mermaid;Sony Pictures;Romantic Comedy;3229457;373347;196;2016
Green Room;A24;Horror;3220371;372297;197;2016
Our Kind of Traitor;Roadside Attractions;Thriller/Suspense;3153157;364526;198;2016
Compadres;Lionsgate;Comedy;3127773;361592;199;2016
The Martian;20th Century Fox;Thriller/Suspense;3088310;357030;200;2016
The Other Side of the Door;20th Century Fox;Horror;3000342;346860;201;2016
Star Wars Ep. VIII: The Las...;Walt Disney;Adventure;517218368;57660910;1;2017
Beauty and the Beast;Walt Disney;Musical;504014165;56188870;2;2017
Wonder Woman;Warner Bros.;Action;412563408;45993691;3;2017
Guardians of the Galaxy Vol 2;Walt Disney;Action;389813101;43457424;4;2017
Spider-Man: Homecoming;Sony Pictures;Action;334201140;37257652;5;2017
It;Warner Bros.;Horror;327481748;36508556;6;2017
Thor: Ragnarok;Walt Disney;Action;311225150;34696226;7;2017
Despicable Me 3;Universal;Adventure;264624300;29501036;8;2017
Logan;20th Century Fox;Action;226277068;25225983;9;2017
The Fate of the Furious;Universal;Action;225764765;25168870;10;2017
Justice League;Warner Bros.;Action;225546295;25144514;11;2017
Dunkirk;Warner Bros.;Action;188373161;21000352;12;2017
Coco;Walt Disney;Musical;179834199;20048405;13;2017
The Lego Batman Movie;Warner Bros.;Adventure;175750384;19593131;14;2017
Get Out;Universal;Horror;175484140;19563449;15;2017
The Boss Baby;20th Century Fox;Adventure;175003033;19509814;16;2017
Pirates of the Caribbean: D...;Walt Disney;Adventure;172558876;19237332;17;2017
Jumanji: Welcome to the Jungle;Sony Pictures;Adventure;169002557;18840865;18;2017
Kong: Skull Island;Warner Bros.;Adventure;168052812;18734985;19;2017
Hidden Figures;20th Century Fox;Drama;167620331;18686770;20;2017
Cars 3;Walt Disney;Adventure;152901115;17045832;21;2017
War for the Planet of the Apes;20th Century Fox;Action;146880162;16374600;22;2017
Split;Universal;Horror;138141585;15400399;23;2017
Transformers: The Last Knight;Paramount Pictures;Action;130168683;14511558;24;2017
Wonder;Lionsgate;Drama;121559294;13551761;25;2017
La La Land;Lionsgate;Musical;116833190;13024881;26;2017
Girls Trip;Universal;Comedy;115108515;12832610;27;2017
Fifty Shades Darker;Universal;Drama;114434010;12757414;28;2017
Baby Driver;Sony Pictures;Thriller/Suspense;107825862;12020720;29;2017
Rogue One: A Star Wars Story;Walt Disney;Adventure;107189617;11949790;30;2017
Sing;Universal;Adventure;103831225;11575387;31;2017
Annabelle: Creation;Warner Bros.;Horror;102092201;11381516;32;2017
Daddy's Home 2;Paramount Pictures;Comedy;101791381;11347980;33;2017
Murder on the Orient Express;20th Century Fox;Drama;100619624;11217349;34;2017
Kingsman: The Golden Circle;20th Century Fox;Action;100227039;11173583;35;2017
John Wick: Chapter Two;Lionsgate;Action;92029184;10259663;36;2017
Blade Runner 2049;Warner Bros.;Thriller/Suspense;91654512;10217894;37;2017
The Emoji Movie;Sony Pictures;Adventure;86089513;9597493;38;2017
Power Rangers;Lionsgate;Action;85364450;9516661;39;2017
The Mummy;Universal;Adventure;80101125;8929891;40;2017
The Hitman's Bodyguard;Lionsgate;Action;75468583;8413442;41;2017
Alien: Covenant;20th Century Fox;Horror;74262031;8278933;42;2017
Captain Underpants: The Fir...;20th Century Fox;Adventure;73921000;8240914;43;2017
A Bad Moms Christmas;STX Entertainment;Comedy;71891988;8014714;44;2017
A Dog's Purpose;Universal;Drama;64321890;7170779;45;2017
Pitch Perfect 3;Universal;Comedy;63300605;7056923;46;2017
The Lego Ninjago Movie;Warner Bros.;Adventure;59281555;6608869;47;2017
Baywatch;Paramount Pictures;Comedy;58060186;6472707;48;2017
The Shack;Lionsgate;Drama;57386418;6397593;49;2017
Happy Death Day;Universal;Horror;55683845;6207786;50;2017
Ferdinand;20th Century Fox;Adventure;53546717;5969534;51;2017
Atomic Blonde;Focus Features;Thriller/Suspense;51573925;5749601;52;2017
American Made;Universal;Action;51342000;5723745;53;2017
The Dark Tower;Sony Pictures;Western;50701325;5652322;54;2017
The Greatest Showman;20th Century Fox;Musical;49036718;5466747;55;2017
Tyler Perry's Boo 2! A Made...;Lionsgate;Comedy;47319572;5275314;56;2017
Lion;Weinstein Co.;Drama;46435795;5176789;57;2017
Snatched;20th Century Fox;Comedy;45852178;5111726;58;2017
The Great Wall;Universal;Action;45157105;5034236;59;2017
Smurfs: The Lost Village;Sony Pictures;Adventure;45020282;5018984;60;2017
Going in Style;Warner Bros.;Comedy;45018541;5018789;61;2017
All Eyez on Me;Lionsgate;Drama;44922302;5008060;62;2017
xXx: Return of Xander Cage;Paramount Pictures;Action;44898413;5005397;63;2017
Passengers;Sony Pictures;Thriller/Suspense;44634490;4975974;64;2017
47 Meters Down;Entertainment Stu...;Thriller/Suspense;44307193;4939486;65;2017
The Big Sick;Lionsgate;Romantic Comedy;42872467;4779539;66;2017
Ghost in the Shell;Paramount Pictures;Action;40563557;4522135;67;2017
Valerian and the City of a ...;STX Entertainment;Adventure;40479370;4512750;68;2017
The Star;Sony Pictures;Adventure;39963949;4455290;69;2017
King Arthur: Legend of the ...;Warner Bros.;Adventure;39175066;4367343;70;2017
Moana;Walt Disney;Musical;38710930;4315599;71;2017
Jigsaw;Lionsgate;Horror;38052832;4242233;72;2017
American Assassin;Lionsgate;Thriller/Suspense;36249674;4041212;73;2017
The Foreigner;STX Entertainment;Action;34393507;3834281;74;2017
Everything Everything;Warner Bros.;Drama;34121140;3803918;75;2017
Wind River;Weinstein Co.;Thriller/Suspense;33800859;3768212;76;2017
Geostorm;Warner Bros.;Thriller/Suspense;33578782;3743454;77;2017
Monster Trucks;Paramount Pictures;Adventure;33370166;3720196;78;2017
Fist Fight;Warner Bros.;Comedy;32187017;3588296;79;2017
How to Be a Latin Lover;Lionsgate;Comedy;32149404;3584103;80;2017
Lady Bird;A24;Drama;31432463;3504176;81;2017
Patriots Day;Lionsgate;Thriller/Suspense;31257572;3484679;82;2017
Kidnap;Aviron Pictures;Thriller/Suspense;30718107;3424538;83;2017
Underworld: Blood Wars;Sony Pictures;Action;30353973;3383943;84;2017
The Mountain Between Us;20th Century Fox;Adventure;30348555;3383339;85;2017
Life;Sony Pictures;Thriller/Suspense;30234022;3370571;86;2017
Why Him?;20th Century Fox;Comedy;29689870;3309907;87;2017
The Nut Job 2: Nutty by Nature;Open Road;Adventure;28370522;3162822;88;2017
Fences;Paramount Pictures;Drama;27939289;3114747;89;2017
Rings;Paramount Pictures;Horror;27793018;3098441;90;2017
Logan Lucky;Bleecker Street;Comedy;27778642;3096838;91;2017
Home Again;Open Road;Romantic Comedy;27020284;3012294;92;2017
Resident Evil: The Final Ch...;Sony Pictures;Horror;26844692;2992719;93;2017
The House;Warner Bros.;Comedy;25584504;2852230;94;2017
Gifted;Fox Searchlight;Drama;24801212;2764907;95;2017
Three Billboards Outside Eb...;Fox Searchlight;Black Comedy;24164629;2693939;96;2017
The Bye Bye Man;STX Entertainment;Horror;22395806;2496745;97;2017
Victoria and Abdul;Focus Features;Drama;22233285;2478627;98;2017
Rough Night;Sony Pictures;Black Comedy;22105643;2464397;99;2017
My Little Pony: The Movie;Lionsgate;Adventure;21885107;2439811;100;2017
Leap!;Weinstein Co.;Adventure;21858070;2436797;101;2017
Sleepless;Open Road;Thriller/Suspense;20783704;2317024;102;2017
Diary of a Wimpy Kid: The L...;20th Century Fox;Adventure;20738724;2312009;103;2017
The Circle;STX Entertainment;Thriller/Suspense;20497844;2285155;104;2017
Manchester-by-the Sea;Roadside Attractions;Drama;19224674;2143218;105;2017
Baahubali 2: The Conclusion;Great India Films;Action;18985794;2116587;106;2017
CHiPS;Warner Bros.;Action;18600152;2073596;107;2017
Assassin's Creed;20th Century Fox;Action;18232781;2032640;108;2017
Only the Brave;Sony Pictures;Drama;18181288;2026899;109;2017
Darkest Hour;Focus Features;Drama;18132857;2021500;110;2017
The Disaster Artist;A24;Comedy;17861795;1991281;111;2017
mother!;Paramount Pictures;Thriller/Suspense;17800004;1984392;112;2017
The Zookeeper's Wife;Focus Features;Drama;17445186;1944836;113;2017
The Glass Castle;Lionsgate;Drama;17273059;1925647;114;2017
Downsizing;Paramount Pictures;Comedy;17160674;1913119;115;2017
Flatliners;Sony Pictures;Horror;16883115;1882176;116;2017
Detroit;Annapurna Pictures;Drama;16790139;1871810;117;2017
The Shape of Water;Fox Searchlight;Drama;15670177;1746954;118;2017
Moonlight;A24;Drama;15245163;1699572;119;2017
The Case for Christ;Pure Flix Enterta...;Drama;14678714;1636422;120;2017
Wish Upon;Broad Green Pictures;Horror;14301505;1594370;121;2017
It Comes at Night;A24;Horror;13985117;1559098;122;2017
Born in China;Walt Disney;Documentary;13873211;1546623;123;2017
Megan Leavey;Bleecker Street;Drama;13406304;1494571;124;2017
Father Figures;Warner Bros.;Comedy;12885287;1436487;125;2017
The Founder;Weinstein Co.;Drama;12786053;1425424;126;2017
All the Money in the World;Sony Pictures;Thriller/Suspense;12712380;1417211;127;2017
Battle of the Sexes;Fox Searchlight;Drama;12638526;1408977;128;2017
Before I Fall;Open Road;Drama;12241072;1364668;129;2017
Night of the Living Dead;Walter Reade Orga...;Horror;12087064;1347498;130;2017
Roman J. Israel  Esq.;Sony Pictures;Drama;11851274;1321212;131;2017
Unforgettable;Warner Bros.;Thriller/Suspense;11368012;1267337;132;2017
Fantastic Beasts and Where ...;Warner Bros.;Adventure;11362002;1266667;133;2017
The Beguiled;Focus Features;Western;10576669;1179115;134;2017
Live by Night;Warner Bros.;Drama;10283585;1146442;135;2017
The Belko Experiment;BH Tilt;Horror;10166820;1133424;136;2017
Thank You for Your Service;Universal;Drama;9479390;1056788;137;2017
Marshall;Open Road;Drama;9468318;1055554;138;2017
Rock Dog;Lionsgate;Adventure;9420546;1050228;139;2017
The Lost City of Z;Bleecker Street;Drama;8574339;955890;140;2017
Arrival;Paramount Pictures;Drama;8354449;931376;141;2017
The Promise;Open Road;Drama;8224288;916865;142;2017
A Cure for Wellness;20th Century Fox;Thriller/Suspense;8106986;903789;143;2017
The Space Between Us;STX Entertainment;Drama;7885294;879074;144;2017
Jackie;Fox Searchlight;Drama;7490669;835080;145;2017
Gold;Weinstein Co.;Drama;7227038;805690;146;2017
Let There Be Light;Atlas Distribution;Drama;7210068;803797;147;2017
I Am Not Your Negro;Magnolia Pictures;Documentary;7123919;794193;148;2017
Beatriz at Dinner;Roadside Attractions;Drama;7115854;793294;149;2017
Birth of the Dragon;BH Tilt;Action;6901965;769449;150;2017
Silence;Paramount Pictures;Drama;6789497;756911;151;2017
Collateral Beauty;Warner Bros.;Drama;6673543;743985;152;2017
The Snowman;Universal;Thriller/Suspense;6670765;743675;153;2017
Same Kind of Different as Me;Pure Flix Enterta...;Drama;6394006;712821;154;2017
Loving Vincent;Good Deed Enterta...;Drama;6269689;698961;155;2017
Lowriders;BH Tilt;Drama;6179955;688958;156;2017
Maudie;Sony Pictures Cla...;Drama;6170998;687959;157;2017
Just Getting Started;Broad Green Pictures;Comedy;6036997;673020;158;2017
All Saints;Sony Pictures;Drama;5802208;646846;159;2017
Suburbicon;Paramount Pictures;Black Comedy;5775178;643832;160;2017
Paris Can Wait;Sony Pictures Cla...;Romantic Comedy;5608745;625278;161;2017
The Man Who Invented Christmas;Bleecker Street;Adventure;5575759;621600;162;2017
20th Century Women;A24;Drama;5486187;611615;163;2017
Molly's Game;STX Entertainment;Drama;5377480;599496;164;2017
The Florida Project;A24;Drama;5297299;590557;165;2017
Your Name;FUNimation;Drama;5000181;557433;166;2017
Call Me by Your Name;Sony Pictures Cla...;Drama;4906869;547031;167;2017
Tiger Zinda Hai;Yash Raj Films;Action;4572231;509724;168;2017
The Book of Henry;Focus Features;Drama;4288104;478049;169;2017
Stronger;Roadside Attractions;Drama;4211129;469468;170;2017
